ee_name,freq
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A.",389277
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS COLLATERAL AGENT",155495
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS NOTES COLLATERAL AGENT",141093
"BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT",123191
"BANK OF AMERICA, N.A., AS COLLATERAL AGENT",122643
"BANK OF AMERICA, N.A.",116812
"JPMORGAN CHASE BANK, N.A.",114857
"JPMORGAN CHASE BANK, N.A., AS COLLATERAL AGENT",103311
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT",83248
"BARCLAYS BANK PLC, AS ADMINISTRATIVE AGENT",70936
"BANK OF AMERICA N.A., AS AGENT",68088
DEUTSCHE BANK TRUST COMPANY AMERICAS,67403
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE",65850
"WILMINGTON TRUST, NATIONAL ASSOCIATION",61501
"CITIBANK, N.A., AS COLLATERAL AGENT",53904
"BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS FIRST LIEN COLLATERAL AGENT",43470
"CITICORP USA, INC.",40821
"MORGAN STANLEY SENIOR FUNDING, INC., AS COLLATERAL AGENT",35492
"MORGAN STANLEY SENIOR FUNDING, INC.",34829
"WELLS FARGO BANK, NATIONAL ASSOCIATION",34288
"STARBOARD VALUE INTERMEDIATE FUND LP, AS COLLATERAL AGENT",32958
"U.S. BANK NATIONAL ASSOCIATION, AS COLLATERAL AGENT",30322
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",29660
"DEUTSCHE BANK AG NEW YORK BRANCH, AS COLLATERAL AGENT",29550
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",29461
"CITIBANK, N.A.",27565
"CITICORP NORTH AMERICA, INC.",26613
MORGAN STANLEY & CO. INCORPORATED,22503
WILMINGTON TRUST,21537
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS TRUSTEE",20336
"CITIBANK, N.A. AS COLLATERAL AGENT",19666
"GOLDMAN SACHS BANK USA, AS COLLATERAL AGENT",19597
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",18909
WILMINGTON TRUST COMPANY,18552
"MORGAN STANLEY SENIOR FUNDING, INC., AS AGENT",18394
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL AGENT",18320
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS TRUSTEE AND NOTES COLLATERAL AGENT",17705
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",16416
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS COLLATERAL AGENT",16135
UNITED STATES DEPARTMENT OF THE TREASURY,14625
"CITIBANK, N.A., AS COLLATERAL TRUSTEE",14271
BARCLAYS BANK PLC,13762
"ROYAL BANK OF CANADA, AS COLLATERAL AGENT",13744
"CITIBANK, N.A., AS ADMINISTRATIVE AGENT",13489
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH",13082
"CITICORP NORTH AMERICA, INC., AS AGENT",13068
"JPMORGAN CHASE BANK, AS COLLATERAL AGENT",12661
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS ADMINISTRATIVE AGENT",12398
GOLDMAN SACHS BANK USA,12333
WELLS FARGO BANK NATIONAL ASSOCIATION AS AGENT,12285
"BARCLAYS BANK PLC, AS COLLATERAL AGENT",11913
CREDIT SUISSE,11847
"PNC BANK, NATIONAL ASSOCIATION",11243
"GOLDMAN SACHS BANK USA, AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",11215
SILICON VALLEY BANK,10911
U.S. BANK NATIONAL ASSOCIATION,10558
"BANK OF AMERICAN, N.A. AS COLLATERAL AGENT",10322
"CORTLAND CAPITAL MARKET SERVICES LLC, AS COLLATERAL AGENT",10246
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS AGENT",9801
"CITIBANK, N.A., AS NOTES COLLATERAL AGENT",9716
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",9564
"BANK ONE, NA, AS ADMINISTRATIVE AGENT",9039
"HPS INVESTMENT PARTNERS, LLC, AS COLLATERAL AGENT",8698
"BANK OF AMERICA, N.A., AS AGENT",8545
"GENERAL ELECTRIC CAPITAL CORPORATION, AS AGENT",8402
DEUTSCHE BANK AG NEW YORK BRANCH,8176
UAW RETIREE MEDICAL BENEFITS TRUST,8001
"WILMINGTON TRUST COMPANY, AS COLLATERAL AGENT",7517
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL TRUSTEE",7491
GENERAL ELECTRIC CAPITAL CORPORATION,6978
JEFFERIES FINANCE LLC,6931
"MORGAN STANLEY SENIOR FUNDING, INC. AS THE COLLATERAL AGENT",6760
"JPMORGAN CHASE BANK,N.A,AS ADMINISTRATIVE AGENT",6734
"JPMORGAN CHASE BANK, N.A. AS ADMINISTRATIVE AGENT",6596
"CITICORP USA, INC. AS AGENT FOR BANK PRIORITY SECURED PARTIES",6594
"CITICORP USA, INC. AS AGENT FOR HEDGE PRIORITY SECURED PARTIES",6594
"THE BANK OF NEW YORK MELLON, AS COLLATERAL AGENT",6400
ALTER DOMUS (US) LLC,6311
"JPMORGAN CHASE BANK, N.A., AS AGENT",5757
