or_name,freq
DELL PRODUCTS L.P.,55314
WYSE TECHNOLOGY L.L.C.,51331
"MICRON TECHNOLOGY, INC.",48411
DELL MARKETING L.P.,47600
DELL USA L.P.,47600
"FORCE10 NETWORKS, INC.",47600
EMC IP HOLDING COMPANY LLC,46448
EMC CORPORATION,45477
"GM GLOBAL TECHNOLOGY OPERATIONS, INC.",42214
DELL INTERNATIONAL L.L.C.,39183
"CREDANT TECHNOLOGIES, INC.",36247
EASTMAN KODAK COMPANY,32355
XEROX CORPORATION,31114
DELL SOFTWARE INC.,25806
"ASAP SOFTWARE EXPRESS, INC.",25226
"PAKON, INC.",24477
"FREESCALE SEMICONDUCTOR, INC.",22512
ATMEL CORPORATION,20376
COMMSCOPE TECHNOLOGIES LLC,19703
MICROSEMI CORPORATION,18804
"SILICON STORAGE TECHNOLOGY, INC.",17861
"MICROSEMI STORAGE SOLUTIONS, INC.",17507
"MOZY, INC.",17404
AVENTAIL LLC,16873
DELL SYSTEMS CORPORATION,16532
MAGINATICS LLC,16532
SCALEIO LLC,16532
SPANNING CLOUD APPS LLC,16532
"COMMSCOPE, INC. OF NORTH CAROLINA",16126
ARRIS ENTERPRISES LLC,15626
"MICRON SEMICONDUCTOR PRODUCTS, INC.",15279
FPC INC.,14533
LASER-PACIFIC MEDIA CORPORATION,14526
"KODAK AMERICAS, LTD.",14518
QUALEX INC.,14492
"KODAK REALTY, INC.",14468
FAR EAST DEVELOPMENT LTD.,14456
NPEC INC.,14358
"KODAK (NEAR EAST), INC.",14346
"KODAK PHILIPPINES, LTD.",14334
KODAK PORTUGUESA LIMITED,14188
"ARRIS SOLUTIONS, INC.",14011
"KODAK IMAGING NETWORK, INC.",13951
KODAK AVIATION LEASING LLC,13584
CREO MANUFACTURING AMERICA LLC,13170
"RUCKUS WIRELESS, INC.",13155
MICROCHIP TECHNOLOGY INCORPORATED,12428
AVAGO TECHNOLOGIES GENERAL IP (SINGAPORE) PTE. LTD.,11489
CREDANT TECHNOLOGIES INC.,11354
BROADCOM CORPORATION,10751
AGERE SYSTEMS LLC,9700
LSI CORPORATION,9700
"WESTERN DIGITAL TECHNOLOGIES, INC.",9575
GLOBALFOUNDRIES INC.,9508
AVAYA INC.,9491
"CITIBANK, N.A.",9433
"CITRIX SYSTEMS, INC.",9382
"ARRIS TECHNOLOGY, INC.",8960
"SECUREWORKS, INC.",8695
"APPASSURE SOFTWARE, INC.",8694
"BOOMI, INC.",8694
"COMPELLENT TECHNOLOGIES, INC.",8694
DELL INC.,8694
"GALE TECHNOLOGIES, INC.",8694
PEROT SYSTEMS CORPORATION,8694
SPRINT COMMUNICATIONS COMPANY L.P.,7643
ROVI TECHNOLOGIES CORPORATION,7523
"VEVEO, INC.",7518
"ROVI GUIDES, INC.",7504
ROVI SOLUTIONS CORPORATION,7504
UNISYS CORPORATION,7043
SEAGATE TECHNOLOGY LLC,6790
"VPNET TECHNOLOGIES, INC.",6518
SPRINT SPECTRUM L.P.,6343
SPANSION LLC,6023
MICROCHIP TECHNOLOGY INC.,5802
TIBCO SOFTWARE INC.,5743
FEDERAL-MOGUL CHASSIS LLC,5451
FEDERAL-MOGUL POWERTRAIN LLC,5451
"SCIENTIFIC GAMES INTERNATIONAL, INC.",5431
OCTEL COMMUNICATIONS LLC,5180
WEATHERFORD U.K. LIMITED,5106
WEATHERFORD CANADA LTD.,5097
WEATHERFORD NETHERLANDS B.V.,5097
WEATHERFORD NORGE AS,5097
WEATHERFORD SWITZERLAND TRADING AND DEVELOPMENT GMBH,5097
FREESCALE ACQUISITION CORPORATION,4901
FREESCALE ACQUISITION HOLDINGS CORP.,4901
"FREESCALE HOLDINGS (BERMUDA) III, LTD.",4901
