or_name,freq,entity_id,standard_name
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS NOTES COLLATERAL AGENT",161606,financial_102,BANK OF NEW YORK MELLON
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH",157710,financial_309,CREDIT SUISSE
"WILMINGTON TRUST, NATIONAL ASSOCIATION",124823,financial_1111,WILMINGTON NA
"JP MORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT",107454,financial_605,JP MORGAN CHASE BANK NA
"JPMORGAN CHASE BANK, N.A.",104870,financial_605,JP MORGAN CHASE BANK NA
"BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT",100437,financial_43,BANK OF AMERICA NA
"BANK OF AMERICA, N.A., AS COLLATERAL AGENT",92525,financial_43,BANK OF AMERICA NA
"BANK OF AMERICA, N.A.",80208,financial_43,BANK OF AMERICA NA
DEUTSCHE BANK TRUST COMPANY AMERICAS,70881,financial_350,DEUTSCHE BANK
BARCLAYS BANK PLC,64024,financial_126,BARCLAYS BANK
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT",62118,financial_605,JP MORGAN CHASE BANK NA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",58685,financial_1103,WELLS FARGO BANK NA
"MORGAN STANLEY SENIOR FUNDING, INC.",54492,financial_731,MORGAN STANLEY SENIOR FUNDING
"JPMORGAN CHASE BANK, N.A., AS COLLATERAL AGENT",46503,financial_605,JP MORGAN CHASE BANK NA
"BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL AGENT",39778,financial_102,BANK OF NEW YORK MELLON
"MORGAN STANLEY SENIOR FUNDING, INC., AS COLLATERAL AGENT",33078,financial_731,MORGAN STANLEY SENIOR FUNDING
"DEUTSCHE BANK AG NEW YORK BRANCH, AS COLLATERAL AGENT",31441,financial_350,DEUTSCHE BANK
"WELLS FARGO BANK, NATIONAL ASSOCIATION",31284,financial_1103,WELLS FARGO BANK NA
STARBOARD VALUE INTERMEDIATE FUND LP,31127,financial_991,STARBOARD VALUE INTERMEDIATE FUND
"CITIBANK, N.A.",31000,financial_251,CITIBANK NA
"CITIBANK, N.A., AS COLLATERAL AGENT",28768,financial_251,CITIBANK NA
"CITICORP NORTH AMERICA, INC.",27268,financial_5518,CITICORP NORTH AMERICA
WILMINGTON TRUST COMPANY,20664,financial_1111,WILMINGTON NA
"U.S. BANK NATIONAL ASSOCIATION, AS COLLATERAL AGENT",20041,financial_3,US BANK NA
"GOLDMAN SACHS BANK USA, AS COLLATERAL AGENT",17897,financial_501,GOLDMAN SACHS BANK USA
"PNC BANK, NATIONAL ASSOCIATION",14464,financial_846,PNC BANK NA
UNITED STATES DEPARTMENT OF THE TREASURY,14433,financial_348,US DEPARTMENT OF THE TREASURY
"JPMORGAN CHASE BANK, N.A, AS ADMINISTRATIVE AGENT",13869,financial_605,JP MORGAN CHASE BANK NA
ROYAL BANK OF CANADA,13777,financial_900,ROYAL BANK OF CANADA
"GOLDMAN SACHS BANK USA., AS COLLATERAL AGENT",13210,financial_501,GOLDMAN SACHS BANK USA
DEUTSCHE BANK AG NEW YORK BRANCH,12457,financial_350,DEUTSCHE BANK
"CITICORP USA, INC.",11985,financial_5518,CITICORP NORTH AMERICA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",11311,financial_1103,WELLS FARGO BANK NA
SILICON VALLEY BANK,10082,financial_950,SILICON VALLEY BANK
"CITICORP NORTH AMERICA, INC., AS SENIOR DIP AGENT",9794,financial_5518,CITICORP NORTH AMERICA
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS JUNIOR DIP AGENT",9794,financial_1111,WILMINGTON NA
MANUFACTURERS AND TRADERS TRUST COMPANY (AS ADMINISTRATIVE AGENT),9182,financial_668,MANUFACTURERS & TRADERS
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",8956,financial_1111,WILMINGTON NA
"HPS INVESTMENT PARTNERS, LLC",8946,financial_559,HPS INVESTMENT PARTNERS LLC
"BANK OF AMERICA, N.A., AS COLLATERAL TRUSTEE",8880,financial_43,BANK OF AMERICA NA
"BANK OF AMERICA, N A",8704,financial_43,BANK OF AMERICA NA
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS TRUSTEE",8624,financial_102,BANK OF NEW YORK MELLON
CORTLAND CAPITAL MARKET SERVICES LLC,8238,financial_298,CORTLAND CAPITAL MARKET SERVICES LLC
UAW RETIREE MEDICAL BENEFITS TRUST,7820,financial_2692,UAW RETIREE MEDICAL BENEFITS TRUST
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A.",7616,financial_102,BANK OF NEW YORK MELLON
JEFFERIES FINANCE LLC,7131,financial_599,JEFFERIES FINANCE LLC
"MUFG UNION BANK, N.A.",6780,financial_739,MUFG UNION BANK NA
"CITICORP USA, INC. AS AGENT FOR BANK PRIORITY SECURED PARTIES",6594,financial_5518,CITICORP NORTH AMERICA
"CITICORP USA, INC. AS AGENT FOR HEDGE PRIORITY SECURED PARTIES",6594,financial_5518,CITICORP NORTH AMERICA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT AND SECOND PRIORITY REPRESENTATIVE",6367,financial_1103,WELLS FARGO BANK NA
"JPMORGAN CHASE BANK, N.A., AS AGENT",5974,financial_605,JP MORGAN CHASE BANK NA
THE BANK OF NOVA SCOTIA,5492,financial_110,BANK OF NOVA SCOTIA
"JPMORGAN CHASE BANK, N.A. (A NATIONAL ASSOCIATION)",5348,financial_605,JP MORGAN CHASE BANK NA
"CITIBANK, N.A., AS AGENT",5333,financial_251,CITIBANK NA
"BARCLAYS BANK PLC, AS COLLATERAL AGENT",4933,financial_126,BARCLAYS BANK
"GOLDMAN SACHS CREDIT PARTNERS, L.P., AS COLLATERAL AGENT",4912,financial_501,GOLDMAN SACHS BANK USA
CREDIT SUISSE FIRST BOSTON,4879,financial_309,CREDIT SUISSE
MORGAN STANLEY & CO. INCORPORATED,4530,financial_731,MORGAN STANLEY SENIOR FUNDING
CREDIT SUISSE AG,4407,financial_309,CREDIT SUISSE
"WELLS FARGO CAPITAL FINANCE, LLC",4290,financial_1103,WELLS FARGO BANK NA
WILMINGTON TRUST COMPANY AS CORPORATE TRUSTEE,3807,financial_1111,WILMINGTON NA
"GENERAL ELECTRIC CAPITAL CORPORATION, AS AGENT",3800,financial_482,GENERAL ELECTRIC CAPITAL CORP
"GACP FINANCE CO., LLC, AS ADMINISTRATIVE AGENT",3689,financial_463,GACP FINANCE CO LLC
U.S. BANK NATIONAL ASSOCIATION,3572,financial_3,US BANK NA
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",3566,financial_1111,WILMINGTON NA
GENERAL ELECTRIC CAPITAL CORPORATION,3563,financial_482,GENERAL ELECTRIC CAPITAL CORP
"JPMORGAN CHASE BANK, N.A. AS SUCCESSOR-IN-INTEREST ADMINISTRATIVE AGENT AND COLLATERAL AGENT TO BANK ONE, N.A.",3146,financial_605,JP MORGAN CHASE BANK NA
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS COLLATERAL AGENT",3123,financial_309,CREDIT SUISSE
"BANK OF AMERICA, N.A., AS AGENT",2991,financial_43,BANK OF AMERICA NA
"MORGAN STANLEY SENIOR FUNDING, INC., AS ADMINISTRATIVE AGENT",2985,financial_731,MORGAN STANLEY SENIOR FUNDING
THE BANK OF NEW YORK MELLON,2831,financial_102,BANK OF NEW YORK MELLON
"THE CIT GROUP/BUSINESS CREDIT, INC., AS COLLATERAL AGENT",2808,financial_244,CIT GROUP BUSINESS CREDIT
"JPMORGAN CHASE BANK, N.A. (FORMERLY KNOWN AS THE CHASE MANHATTAN BANK), AS ADMINISTRATIVE AGENT",2726,financial_605,JP MORGAN CHASE BANK NA
"BANK OF AMERICA, N.A. (F/K/A BANK OF AMERICA NATIONAL TRUST AND SAVINGS ASSOCIATION)",2706,financial_43,BANK OF AMERICA NA
"GLAS AMERICAS LLC, AS COLLATERAL AGENT",2670,financial_489,GLAS AMERICAS
"CREDIT SUISSE, CAYMAN ISLANDS BRANCH (FORMERLY KNOWN AS CREDIT SUISSE), AS COLLATERAL AGENT",2658,financial_309,CREDIT SUISSE
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL TRUSTEE",2505,financial_1103,WELLS FARGO BANK NA
"PROJECT IVORY ACQUISITION, LLC",2502,financial_1216,PROJECT IVORY ACQUISITION LLC
"GENERAL ELECTRIC CAPITAL CORPORATION, AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",2466,financial_482,GENERAL ELECTRIC CAPITAL CORP
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS AGENT",2131,financial_102,BANK OF NEW YORK MELLON
"JP MORGAN CHASE BANK, N.A., AS COLLATERAL AGENT",2129,financial_605,JP MORGAN CHASE BANK NA
"COMERICA BANK, AS AGENT, A TEXAS BANKING ASSOCIATION (FORMERLY A MICHIGAN BANKING CORPORATION)",2096,financial_117,COMERICA BANK
"BARCLAYS BANK PLC, AS SUCCESSOR IN INTEREST TO LEHMAN COMMERCIAL PAPER INC., AS COLLATERAL AGENT",2072,financial_126,BARCLAYS BANK
ABLECO FINANCE LLC,2008,financial_5,ABLECO FINANCE LLC
"BANK ONE, NA",2005,financial_113,BANK ONE NA
"OBSIDIAN, LLC",1992,financial_791,OBSIDIAN LLC
"UBS AG, STAMFORD BRANCH",1924,financial_1062,UBS STAMFORD
"WACHOVIA BANK, NATIONAL ASSOCIATION",1771,financial_1091,WACHOVIA BANK NA
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS COLLATERAL AGENT",1715,financial_350,DEUTSCHE BANK
GOLDMAN SACHS BANK USA,1682,financial_501,GOLDMAN SACHS BANK USA
"WILMINGTON TRUST COMPANY, AS SECOND LIEN COLLATERAL AGENT",1675,financial_1111,WILMINGTON NA
"CITICORP NORTH AMERICA, INC., AS FIRST LIEN COLLATERAL AGENT",1672,financial_5518,CITICORP NORTH AMERICA
DEUTSCHE AG NEW YORK BRANCH,1662,financial_350,DEUTSCHE BANK
MACQUARIE US TRADING LLC,1653,financial_660,MACQUARIE US TRADING LLC
JEFFERIES FIANANCE LLC,1652,financial_599,JEFFERIES FINANCE LLC
"UBS AG, STAMFORD BRANCH, AS COLLATERAL AGENT",1638,financial_1062,UBS STAMFORD
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",1594,financial_1103,WELLS FARGO BANK NA
MANUFACTURERS AND TRADERS TRUST COMPANY,1568,financial_668,MANUFACTURERS & TRADERS
"MORGAN STANLEY & CO. INCORPORATED, AS COLLATERAL AGENT",1498,financial_731,MORGAN STANLEY SENIOR FUNDING
COMERICA BANK,1411,financial_117,COMERICA BANK
"OCO OPPORTUNITIES MASTER FUND, L.P. (F/K/A OMEGA CREDIT OPPORTUNITIES MASTER FUND LP",1409,financial_5250,OCO OPPORTUNITIES MASTER FUND LP F K A OMEGA CREDIT OPPORTUNITIES MASTER FUND LP
"WELLS FARGO BANK, NATIONAL ASSOCIATION (SUCCESSOR TO GENERAL ELECTRIC CAPITAL CORPORATION)",1395,financial_1103,WELLS FARGO BANK NA
"ROYAL BANK OF CANADA, AS AGENT",1391,financial_900,ROYAL BANK OF CANADA
MACQUARIE CAPITAL FUNDING LLC,1343,financial_659,MACQUARIE CAPITAL FUNDING LLC
"WILMINGTON TRUST FSB, AS THE AGENT",1332,financial_1111,WILMINGTON NA
DEUTSCHE BANK TRUST COMPANY,1296,financial_350,DEUTSCHE BANK
"WELLS FARGO FOOTHILL, INC.",1296,financial_1103,WELLS FARGO BANK NA
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS COLLATERAL TRUSTEE",1294,financial_350,DEUTSCHE BANK
MIDCAP FINANCIAL TRUST,1233,financial_715,MIDCAP FINANCIAL
"WILMINGTON TRUST FSB, AS ADMINISTRATIVE AGENT",1228,financial_1111,WILMINGTON NA
"ALTER DOMUS (US) LLC, AS COLLATERAL AGENT",1198,financial_38,ALTER DOMUS US LLC
"JEFFERIES FINANCE LLC, AS COLLATERAL AGENT",1158,financial_599,JEFFERIES FINANCE LLC
"WILMINGTON TRUST, AS COLLATERAL TRUSTEE",1152,financial_1111,WILMINGTON NA
NOKIA US HOLDINGS INC.,1136,financial_5186,NOKIA US HOLDINGS INC
CORTLAND CAPITAL MARKETS SERVICES LLC,1134,financial_298,CORTLAND CAPITAL MARKET SERVICES LLC
LIGHTSHIP CAPITAL LLC,1134,financial_4687,LIGHTSHIP CAPITAL LLC
"GENERAL ELECTRIC CAPITAL CANADA, INC., A CANADA CORPORATION",1122,financial_482,GENERAL ELECTRIC CAPITAL CORP
KEYBANK NATIONAL ASSOCIATION,1096,financial_613,KEYBANK NA
INTELLECTUAL VENTURES FUND 83 LLC,1064,financial_580,INTELLECTUAL VENTURES FUND 83 LLC
"JPMORGAN CHASE BANK, N.A. (FORMERLY KNOWN AS THE CHASE MANHATTAN BANK AND JPMORGAN CHASE BANK), AS ADMINISTRATIVE AGENT",1045,financial_605,JP MORGAN CHASE BANK NA
"SILICON VALLEY BANK, AS ADMINISTRATIVE AGENT",1044,financial_950,SILICON VALLEY BANK
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS SECOND LIEN ADMINSTRATIVE AGENT",1032,financial_350,DEUTSCHE BANK
WILMINGTON TRUST,1024,financial_1111,WILMINGTON NA
THE UNITED STATES DEPARTMENT OF THE TREASURY,994,financial_348,US DEPARTMENT OF THE TREASURY
"GENERAL ELECTRIC COMPANY, AS SUCCESSOR BY MERGER TO GENERAL ELECTRIC CAPITAL CORPORATION",987,financial_482,GENERAL ELECTRIC CAPITAL CORP
"LASALLE BUSINESS CREDIT, LLC (SUCCESSOR BY MERGER TO LASALLE BUSINESS CREDIT, INC.), AS COLLATERAL AGENT",969,financial_637,LASALLE BUSINESS CREDIT
"LASALLE BUSINESS CREDIT, LLC (SUCCESSOR BY MERGER TO LASALLE BUSINESS CREDIT, INC.), COLLATERAL AGENT",960,financial_637,LASALLE BUSINESS CREDIT
MORGAN BANK (DELAWARE) AS COLLATERAL AGENT,955,financial_730,MORGAN GUARANTY OF NEW YORK & MORGAN BANK DELAWARE S SEE RECORD FOR THE REMAINING ASSIGNEES
"HEALTHCARE FINANCIAL SOLUTIONS, LLC, AS COLLATERAL AGENT",952,financial_537,HEALTHCARE FINANCIAL SOLUTIONS LLC
ALLY BANK,942,financial_34,ALLY BANK
"BOKF, NA",890,financial_158,BOKF NA
"CITIBANK N.A., AS ADMINISTRATIVE AGENT",879,financial_251,CITIBANK NA
"U.S. BANK NATIONAL ASSOCIATION, AS AGENT",877,financial_3,US BANK NA
THE BANK OF NEW YORK MELLON TRUST COMPANY N.A.,871,financial_102,BANK OF NEW YORK MELLON
REVLON GROUP HOLDINGS LLC,867,financial_1387,REVLON GROUP HOLDINGS LLC
BANKERS TRUST COMPANY,866,financial_120,BANKERS
"JPMORGAN CHASE BANK, N.A. (F/K/A THE CHASE MANHATTAN BANK)",857,financial_605,JP MORGAN CHASE BANK NA
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL AGENT",839,financial_102,BANK OF NEW YORK MELLON
"U.S. BANK NATIONAL ASSOCIATION, SOLELY AS NOTES COLLATERAL AGENT",800,financial_3,US BANK NA
"JPMORGAN CHASE BANK, N.A., AS FIRST-DIEN COLLATERAL AGENT",798,financial_605,JP MORGAN CHASE BANK NA
