ee_name,freq,entity_id,standard_name
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A.",389277,financial_102,BANK OF NEW YORK MELLON
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS COLLATERAL AGENT",155495,financial_309,CREDIT SUISSE
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS NOTES COLLATERAL AGENT",141093,financial_102,BANK OF NEW YORK MELLON
"BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT",123191,financial_43,BANK OF AMERICA NA
"BANK OF AMERICA, N.A., AS COLLATERAL AGENT",122643,financial_43,BANK OF AMERICA NA
"BANK OF AMERICA, N.A.",116812,financial_43,BANK OF AMERICA NA
"JPMORGAN CHASE BANK, N.A.",114857,financial_605,JP MORGAN CHASE BANK NA
"JPMORGAN CHASE BANK, N.A., AS COLLATERAL AGENT",103311,financial_605,JP MORGAN CHASE BANK NA
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT",83248,financial_605,JP MORGAN CHASE BANK NA
"BARCLAYS BANK PLC, AS ADMINISTRATIVE AGENT",70936,financial_126,BARCLAYS BANK
"BANK OF AMERICA N.A., AS AGENT",68088,financial_43,BANK OF AMERICA NA
DEUTSCHE BANK TRUST COMPANY AMERICAS,67403,financial_350,DEUTSCHE BANK
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE",65850,financial_605,JP MORGAN CHASE BANK NA
"WILMINGTON TRUST, NATIONAL ASSOCIATION",61501,financial_1111,WILMINGTON NA
"CITIBANK, N.A., AS COLLATERAL AGENT",53904,financial_251,CITIBANK NA
"BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS FIRST LIEN COLLATERAL AGENT",43470,financial_102,BANK OF NEW YORK MELLON
"CITICORP USA, INC.",40821,financial_5518,CITICORP NORTH AMERICA
"MORGAN STANLEY SENIOR FUNDING, INC., AS COLLATERAL AGENT",35492,financial_731,MORGAN STANLEY SENIOR FUNDING
"MORGAN STANLEY SENIOR FUNDING, INC.",34829,financial_731,MORGAN STANLEY SENIOR FUNDING
"WELLS FARGO BANK, NATIONAL ASSOCIATION",34288,financial_1103,WELLS FARGO BANK NA
"STARBOARD VALUE INTERMEDIATE FUND LP, AS COLLATERAL AGENT",32958,financial_991,STARBOARD VALUE INTERMEDIATE FUND
"U.S. BANK NATIONAL ASSOCIATION, AS COLLATERAL AGENT",30322,financial_3,US BANK NA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",29660,financial_1103,WELLS FARGO BANK NA
"DEUTSCHE BANK AG NEW YORK BRANCH, AS COLLATERAL AGENT",29550,financial_350,DEUTSCHE BANK
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",29461,financial_1103,WELLS FARGO BANK NA
"CITIBANK, N.A.",27565,financial_251,CITIBANK NA
"CITICORP NORTH AMERICA, INC.",26613,financial_5518,CITICORP NORTH AMERICA
MORGAN STANLEY & CO. INCORPORATED,22503,financial_731,MORGAN STANLEY SENIOR FUNDING
WILMINGTON TRUST,21537,financial_1111,WILMINGTON NA
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS TRUSTEE",20336,financial_102,BANK OF NEW YORK MELLON
"CITIBANK, N.A. AS COLLATERAL AGENT",19666,financial_251,CITIBANK NA
"GOLDMAN SACHS BANK USA, AS COLLATERAL AGENT",19597,financial_501,GOLDMAN SACHS BANK USA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",18909,financial_1103,WELLS FARGO BANK NA
WILMINGTON TRUST COMPANY,18552,financial_1111,WILMINGTON NA
"MORGAN STANLEY SENIOR FUNDING, INC., AS AGENT",18394,financial_731,MORGAN STANLEY SENIOR FUNDING
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL AGENT",18320,financial_102,BANK OF NEW YORK MELLON
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS TRUSTEE AND NOTES COLLATERAL AGENT",17705,financial_102,BANK OF NEW YORK MELLON
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",16416,financial_1111,WILMINGTON NA
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS COLLATERAL AGENT",16135,financial_350,DEUTSCHE BANK
UNITED STATES DEPARTMENT OF THE TREASURY,14625,financial_348,US DEPARTMENT OF THE TREASURY
"CITIBANK, N.A., AS COLLATERAL TRUSTEE",14271,financial_251,CITIBANK NA
BARCLAYS BANK PLC,13762,financial_126,BARCLAYS BANK
"ROYAL BANK OF CANADA, AS COLLATERAL AGENT",13744,financial_900,ROYAL BANK OF CANADA
"CITIBANK, N.A., AS ADMINISTRATIVE AGENT",13489,financial_251,CITIBANK NA
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH",13082,financial_309,CREDIT SUISSE
"CITICORP NORTH AMERICA, INC., AS AGENT",13068,financial_5518,CITICORP NORTH AMERICA
"JPMORGAN CHASE BANK, AS COLLATERAL AGENT",12661,financial_605,JP MORGAN CHASE BANK NA
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS ADMINISTRATIVE AGENT",12398,financial_350,DEUTSCHE BANK
GOLDMAN SACHS BANK USA,12333,financial_501,GOLDMAN SACHS BANK USA
WELLS FARGO BANK NATIONAL ASSOCIATION AS AGENT,12285,financial_1103,WELLS FARGO BANK NA
"BARCLAYS BANK PLC, AS COLLATERAL AGENT",11913,financial_126,BARCLAYS BANK
CREDIT SUISSE,11847,financial_309,CREDIT SUISSE
"PNC BANK, NATIONAL ASSOCIATION",11243,financial_846,PNC BANK NA
"GOLDMAN SACHS BANK USA, AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",11215,financial_501,GOLDMAN SACHS BANK USA
SILICON VALLEY BANK,10911,financial_950,SILICON VALLEY BANK
U.S. BANK NATIONAL ASSOCIATION,10558,financial_3,US BANK NA
"BANK OF AMERICAN, N.A. AS COLLATERAL AGENT",10322,financial_43,BANK OF AMERICA NA
"CORTLAND CAPITAL MARKET SERVICES LLC, AS COLLATERAL AGENT",10246,financial_298,CORTLAND CAPITAL MARKET SERVICES LLC
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS AGENT",9801,financial_1111,WILMINGTON NA
"CITIBANK, N.A., AS NOTES COLLATERAL AGENT",9716,financial_251,CITIBANK NA
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",9564,financial_1111,WILMINGTON NA
"BANK ONE, NA, AS ADMINISTRATIVE AGENT",9039,financial_113,BANK ONE NA
"HPS INVESTMENT PARTNERS, LLC, AS COLLATERAL AGENT",8698,financial_559,HPS INVESTMENT PARTNERS LLC
"BANK OF AMERICA, N.A., AS AGENT",8545,financial_43,BANK OF AMERICA NA
"GENERAL ELECTRIC CAPITAL CORPORATION, AS AGENT",8402,financial_482,GENERAL ELECTRIC CAPITAL CORP
DEUTSCHE BANK AG NEW YORK BRANCH,8176,financial_350,DEUTSCHE BANK
UAW RETIREE MEDICAL BENEFITS TRUST,8001,financial_2692,UAW RETIREE MEDICAL BENEFITS TRUST
"WILMINGTON TRUST COMPANY, AS COLLATERAL AGENT",7517,financial_1111,WILMINGTON NA
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL TRUSTEE",7491,financial_102,BANK OF NEW YORK MELLON
GENERAL ELECTRIC CAPITAL CORPORATION,6978,financial_482,GENERAL ELECTRIC CAPITAL CORP
JEFFERIES FINANCE LLC,6931,financial_599,JEFFERIES FINANCE LLC
"MORGAN STANLEY SENIOR FUNDING, INC. AS THE COLLATERAL AGENT",6760,financial_731,MORGAN STANLEY SENIOR FUNDING
"JPMORGAN CHASE BANK,N.A,AS ADMINISTRATIVE AGENT",6734,financial_605,JP MORGAN CHASE BANK NA
"JPMORGAN CHASE BANK, N.A. AS ADMINISTRATIVE AGENT",6596,financial_605,JP MORGAN CHASE BANK NA
"CITICORP USA, INC. AS AGENT FOR BANK PRIORITY SECURED PARTIES",6594,financial_5518,CITICORP NORTH AMERICA
"CITICORP USA, INC. AS AGENT FOR HEDGE PRIORITY SECURED PARTIES",6594,financial_5518,CITICORP NORTH AMERICA
"THE BANK OF NEW YORK MELLON, AS COLLATERAL AGENT",6400,financial_102,BANK OF NEW YORK MELLON
ALTER DOMUS (US) LLC,6311,financial_38,ALTER DOMUS US LLC
"JPMORGAN CHASE BANK, N.A., AS AGENT",5757,financial_605,JP MORGAN CHASE BANK NA
"BANK OF AMERICA, N. A.",5602,financial_43,BANK OF AMERICA NA
"JEFFERIES FINANCE LLC, AS COLLATERAL AGENT",5426,financial_599,JEFFERIES FINANCE LLC
"CITICORP USA, INC., AS ADMINISTRATIVE AGENT",5340,financial_5518,CITICORP NORTH AMERICA
"CITIBANK, N.A., AS AGENT",5202,financial_251,CITIBANK NA
MANUFACTURERS AND TRADERS TRUST COMPANY,5163,financial_668,MANUFACTURERS & TRADERS
ROYAL BANK OF CANADA,5154,financial_900,ROYAL BANK OF CANADA
"THE BANK OF NOVA SCOTIA, AS ADMINISTRATIVE AGENT",5004,financial_110,BANK OF NOVA SCOTIA
BANKERS TRUST COMPANY,4988,financial_120,BANKERS
"BANK OF AMERICA, N.A, AS COLLATERAL AGENT",4800,financial_43,BANK OF AMERICA NA
