or_name,freq,entity_id,standard_name
DELL PRODUCTS L.P.,55314,non_financial_1004,DELL PRODUCTS
WYSE TECHNOLOGY L.L.C.,51331,non_financial_3620,WYSE TECHNOLOGY LLC
"MICRON TECHNOLOGY, INC.",48411,non_financial_2183,MICRON TECHNOLOGY
DELL MARKETING L.P.,47600,non_financial_1003,DELL MARKETING
DELL USA L.P.,47600,non_financial_7357,DELL USA LP
"FORCE10 NETWORKS, INC.",47600,non_financial_8689,FORCE10 NETWORKS INC
EMC IP HOLDING COMPANY LLC,46448,non_financial_1163,EMC IP HOLDING CO LLC
EMC CORPORATION,45477,non_financial_18712,EMC CORP
"GM GLOBAL TECHNOLOGY OPERATIONS, INC.",42214,non_financial_1450,GM GLOBAL TECHNOLOGY OPERATIONS
DELL INTERNATIONAL L.L.C.,39183,non_financial_1002,DELL INTERNATIONAL LLC
"CREDANT TECHNOLOGIES, INC.",36247,non_financial_910,CREDANT TECHNOLOGIES
EASTMAN KODAK COMPANY,32355,non_financial_7793,EASTMAN KODAK CO
XEROX CORPORATION,31114,non_financial_18113,XEROX CORP
DELL SOFTWARE INC.,25806,non_financial_7355,DELL SOFTWARE INC
"ASAP SOFTWARE EXPRESS, INC.",25226,non_financial_317,ASAP SOFTWARE EXPRESS
"PAKON, INC.",24477,non_financial_13418,PAKON INC
"FREESCALE SEMICONDUCTOR, INC.",22512,non_financial_1355,FREESCALE SEMICONDUCTOR
ATMEL CORPORATION,20376,non_financial_4928,ATMEL CORP
COMMSCOPE TECHNOLOGIES LLC,19703,non_financial_6662,COMMSCOPE TECHNOLOGIES LLC
MICROSEMI CORPORATION,18804,non_financial_2186,MICROSEMI CORP
"SILICON STORAGE TECHNOLOGY, INC.",17861,non_financial_15449,SILICON STORAGE TECHNOLOGY INC
"MICROSEMI STORAGE SOLUTIONS, INC.",17507,non_financial_2186,MICROSEMI CORP
"MOZY, INC.",17404,non_financial_12405,MOZY INC
AVENTAIL LLC,16873,non_financial_5037,AVENTAIL LLC
DELL SYSTEMS CORPORATION,16532,non_financial_7356,DELL SYSTEMS CORP
MAGINATICS LLC,16532,non_financial_11601,MAGINATICS LLC
SCALEIO LLC,16532,non_financial_15093,SCALEIO LLC
SPANNING CLOUD APPS LLC,16532,non_financial_15723,SPANNING CLOUD APPS LLC
"COMMSCOPE, INC. OF NORTH CAROLINA",16126,non_financial_822,COMMSCOPE OF NORTH CAROLINA
ARRIS ENTERPRISES LLC,15626,non_financial_305,ARRIS ENTERPRISES LLC
"MICRON SEMICONDUCTOR PRODUCTS, INC.",15279,non_financial_12141,MICRON SEMICONDUCTOR PRODUCTS INC
FPC INC.,14533,non_financial_1350,FPC
LASER-PACIFIC MEDIA CORPORATION,14526,non_financial_11164,LASER-PACIFIC MEDIA CORP
"KODAK AMERICAS, LTD.",14518,non_financial_1902,KODAK
