ee_name,freq,entity_id,standard_name
"MICRON TECHNOLOGY, INC.",54242,non_financial_2183,MICRON TECHNOLOGY
DELL PRODUCTS L.P.,42849,non_financial_1004,DELL PRODUCTS
"GM GLOBAL TECHNOLOGY OPERATIONS, INC.",34111,non_financial_1450,GM GLOBAL TECHNOLOGY OPERATIONS
DELL USA L.P.,33445,non_financial_7357,DELL USA LP
EASTMAN KODAK COMPANY,26131,non_financial_7793,EASTMAN KODAK CO
SCALEIO LLC,24584,non_financial_15093,SCALEIO LLC
ATMEL CORPORATION,21226,non_financial_4928,ATMEL CORP
WYSE TECHNOLOGY L.L.C.,20219,non_financial_3620,WYSE TECHNOLOGY LLC
"PAKON, INC.",19510,non_financial_13418,PAKON INC
MICROSEMI CORPORATION,19328,non_financial_2186,MICROSEMI CORP
"FREESCALE SEMICONDUCTOR, INC.",19321,non_financial_1355,FREESCALE SEMICONDUCTOR
DELL SOFTWARE INC.,18788,non_financial_7355,DELL SOFTWARE INC
"MICROSEMI STORAGE SOLUTIONS, INC.",18324,non_financial_2186,MICROSEMI CORP
"SILICON STORAGE TECHNOLOGY, INC.",18059,non_financial_15449,SILICON STORAGE TECHNOLOGY INC
"FORCE10 NETWORKS, INC.",17408,non_financial_8689,FORCE10 NETWORKS INC
DELL MARKETING L.P.,17105,non_financial_1003,DELL MARKETING
DELL INTERNATIONAL L.L.C.,16855,non_financial_1002,DELL INTERNATIONAL LLC
"CREDANT TECHNOLOGIES, INC.",16800,non_financial_910,CREDANT TECHNOLOGIES
"ASAP SOFTWARE EXPRESS, INC.",16785,non_financial_317,ASAP SOFTWARE EXPRESS
"EMC IP HOLDING COMPANY LLC (ON BEHALF OF ITSELF AND AS SUCCESSOR-IN-INTEREST TO MOZY, INC.)",16781,non_financial_1163,EMC IP HOLDING CO LLC
"DELL MARKETING CORPORATION (SUCCESSOR-IN-INTEREST TO ASAP SOFTWARE EXPRESS, INC.)",16349,non_financial_1003,DELL MARKETING
