component_id,size,avg_similarity,min_similarity,standard_name,all_names
0,60,92.497187276287,88.13559322033898,BANK OF NEW YORK MELLON TRUST CO NA,"['BANK OF NEW YORK MELLON TRUST CO NA', 'BANK OF NEW YORK MELLON TRUST CO NA AS SECOND LIENAGENT', 'BANK OF NEW YORK MELLON TRUST CO NA', 'BANK OF NEW YORK', 'BANK OF NEW YORK COMMERCIAL', 'BANK OF NEW YORK TRUST CO NA', 'BANK OF NEW YORK MELLON TRUST CO NA', 'BANK OF NEW YORK', 'BANK OF NEW YORK MELLON AS THIRD LIENAGENT', 'BANK OF NEW YORK COMMERCIAL CORP THE 530 FIFTH AVE NEW YORK NY', 'BANK OF NEW YORK THE FOR THE PARTIES LISTED IN THE FIRST PARAGRAPH OF THE ATTACHED SECURITY AGREEMENT', 'BANK OF NEW YORK TRUST CO NA', 'BANK OF NEW YORK MELLON TRUST CO NA & US COLLATERAL AGENT', 'BANK OF NEW YORK MELLON TRUST CO NA', 'BANK OF NEW YORK COMMERCIAL CORP', 'BANK OF NEW YORK MELLON TRUST CO NA', 'BANK OF NEW YORK MELLON TRUST NA', 'BANK OF NEW YORK MELLON TRUST CO NA', 'TRUST CO OF NEW YORK US', 'BANK OF NEW YORK MELLON TRUST CO NA', 'BANK OF NEW YORK', 'BANK OF NEW YORK MELLON TRUST CO NA', 'BANK OF NEW YORK MELLON TRUST CO NA & NOTES COLLATERAL AGENT', 'BANK OF NEW YORK MELLON TRUST CO NA AS JUNIOR NOTES COLLATERAL AGENT', 'BANK OF NEW YORK', 'BANK OF NEW YORK TRUST TRUST CO NA', 'BANK OF NEW YORK', 'BANK OF NEW YORK TRUST CO NA', 'BANK OF NEW YORK MELLON TRUST CO NA', 'BANK OF NEW YORK MELLON F K A THE BANK OF NEW YORK', 'BANK OF NEW YORK MELLON AS PARITY LIEN COLLATERAL TRUSTEE', 'BANK OF NEW YORK MELLON AS PRIORITY LIEN COLLATERAL TRUSTEE', 'BANK OF NEW YORK TRUST CO NA', 'BANK OF NEW YORK AS SECURED PARTY', 'BANK OF NEW YORK MELLON', 'BANK OF NEW YORK', 'BANK OF NEW YORK MELLON TRUST CO NA', 'BANK OF NEW YORK MELLON AS SECOND LIENAGENT', 'BANK OF NEW YORK', 'NEW YORK THE BANK OF', 'BANK OF NEW YORK MELLON', 'BANK OF NEW YORK MELLON', 'BANK OF NEW YORK COMMERCIAL CORP', 'BANK OF NEW YORK MELLON TRUST CO NA', 'BANK OF NEW YORK COMMERCIAL CORP', 'BANK OF NEW YORK MELLON', 'BANK OF NEW YORK AS PARITY LIEN COLLATERAL TRUSTEE', 'BANK OF NEW YORK AS PRIORITY LIEN COLLATERAL TRUSTEE', 'BANK OF NEW YORK', 'BANK OF NEW YORK MELLON TRUST CO NA', 'BANK OF NEW YORK', 'BANK OF NEW YORK COMMERICAL CORP', 'BANK OF NEW YORK', 'BANK OF NEW YORK MELLON TRUST CO NA & GRANTEE', 'BANK OF NEW YORK', 'BANK OF NEW YORK MELLON', 'BANK OF NEW YORK MELLON LONDON BRANCH AS SECURITY AGENT', 'BANK OF NEW YORK ADMINISTRATIVE AGENT', 'BANK OF NEW YORK MELLON TRUST CO NA', 'BANK OF NEW YORK MELLON']"
3,24,97.38301588167897,91.0958904109589,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH,"['CREDIT SUISSE AG CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE AG CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS GRANTEE', 'CREDIT SUISSE AG CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE FIRST BOSTON CAYMAN', 'CREDIT SUISSE AG CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE AG CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE FIRST BOSTON CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE AG CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE AG CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE AG CAYMAN ISLAND BRANCH', 'CREDIT SUISSE AG CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE AG CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE AG CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE AG CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE AG CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE AG CAYMAN ISLANDS BRANCH', 'CREDIT SUISSE AG CAYMAN ISLANDS BRANCH']"
19,47,97.95474814217555,90.0,BANK OF AMERICA NA,"['BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA CANADA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA INC', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA AS LENDER', 'BANK OF AMERICA NA', 'BANK OF AMERICA TEXAS NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA CANADA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA & US LENDER', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA', 'BANK OF AMERICA NA']"
30,2,89.0625,89.0625,BANK OF AMERICA NA FOR THE LENDERS,"['BANK OF AMERICA NA FOR THE LENDERS', 'BANK OF AMERICA NA FOR ITSELF & OTHER LENDERS']"
33,82,93.30734491671605,88.0,JPMORGAN CHASE BANK NA,"['JPMORGAN CHASE BANK NA FOR THE REVOLVING LENDERS', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA AS ADMINISTRATIVE', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA ADMINISTRATIVE AGENT', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA AS LENDER', 'JPMORGAN CHASE BANK NA & FIRST PRIORITY REPRESENTATIVE', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK', 'JPMORGAN CHASE BANK NA & COLLATERAL AGENT', 'JPMORGAN CHASE BANK NA AS SYNDICATIONAGENT US COLLATERAL AGENT & ADMINISTRATIVE AGENT', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA AS GENERAL ADMINISTRATIVE AGENT', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA AS ADMINISTATIVE AGENT', 'JPMORGAN CHASE BANK', 'JPMORGAN CHASE BANK FORMERLY KNOWNAS THE CHASE BANK', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA AS THE SUCCESSOR ADMINISTRATIVE AGENT', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK SEOUL BRANCH', 'JPMORGAN CHASE BANK NA FORMERLY KNOWNAS THE CHASE MANHATTAN BANK', 'JPMORGAN CHASE BANK NA & GRANTEE', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA FOR ITSELF & FOR THE LENDERS', 'JPMORGAN CHASE BANK', 'JPMORGAN CHASE BANK NA IN RESPECT OF THE ABL CREDIT AGREEMENT', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA IN RESPECT OF THE TERM LOAN CREDIT AGREEMENT', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA AS THE SUCCESSOR AGENT', 'JPMORGAN CHASE BANK NA AS ADMINISTRATIVE ASSISTANT', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK F K A MORGAN GUARANTY TRUST CO OF NEW YORK', 'JPMORGAN CHASE', 'JPMORGAN CHASE BANK', 'JPMORGAN CHASE BANK NA FIRST LIEN', 'JPMORGAN CHASE BANK', 'JPMORGAN CHASE BANK NA SUCCESSOR TO BEAR STEARNS CORPORATE LENDING INC', 'JPMORGAN CHASE BANK NA FOR THE LENDERS & FOR THE HOLDERS OF THE NOTES', 'JPMORGAN CHASE BANK NA AS ADMNISTRATIVE AGENT', 'JPMORGAN CHASE BANK NA AS FIRST-LIENADMINISTRATIVE AGENT', 'JPMORGAN CHASE BANK NA A US NATIONAL BANKING ASSOCIATION', 'JPMORGAN CHASE BANK NA & FIRST LIEN COLLATERAL AGENT', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA FOR ITSELF &', 'JPMORGAN CHASE BANK NA & SECOND LIEN COLLATERAL AGENT', 'JPMORGAN CHASE BANK NA & ADMINISTRATIVE AGENT', 'JPMORGAN CHASE BANK NA AS PRIORITY COLLATERAL AGENT', 'JPMORGAN CHASE BANK NA TORONTO BRANCH AS CANADIANADMINISTRATIVE AGENT & CANADIAN COLLATERAL AGENT', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA AS SHARED COLLATERAL AGENT', 'JPMORGAN CHASE BANK NA FOR THE SECURED PARTIES', 'JPMORGAN CHASE BANK NA IN ITS CAPACITY', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA F K A JPMORGAN CHASE BANK', 'JPMORGAN CHASE BANK NA', 'JPMORGAN CHASE BANK NA FOR THE FIRST LIEN TERM LENDERS']"
36,66,92.93133823462041,88.04878048780488,DEUTSCHE BANK TRUST CO AMERICAS,"['DEUTSCHE BANK TRUST CO AMERICAS FORMERLY KNOWNAS BANKERS TRUST CO', 'DEUTSCHE BANK TRUST OF CO AMERICAS A COLLATERAL AGENT', 'DEUTSCHE BANK TRUST CO AMERICAS', 'DEUTSCHE BANK TRUST CO AMERICAS', 'DEUTSCHE BANK', 'DEUTSCHE BANK AG NEW YORK', 'DEUTSCHE BANK AG NEW YORK BRANCH & COLLATERAL AGENT', 'DEUTSCHE BANK TRUST CO AMERICAS FORMERLY KNOWNAS BANKERS TRUST CO', 'DEUTSCHE BANK TRUST CO AMERICAS AS SECURITY AGENT', 'DEUTSCHE BANK AG NEW YORK BRANCH', 'DEUTSCHE BANK AG NEW YORK BRANCH', 'DEUTSCHE BANK AG NEW YORK BRANCH AS REVOLVING COLLATERAL AGENT', 'DEUTSCHE BANK AG NEW YORK BRANCH AS ABL AGENT', 'DEUTSCHE BANK TRUST CO AMERICAS AS REVOLVING COLLATERAL AGENT', 'DEUTSCHE BANK AG NEW YORK BRANCH', 'DEUTSCHE BANK AG NEW YORK BRANCH AS COLLATERAL', 'DEUTSCHE BANK AG LONDON BRANCH', 'DEUTSCHE BANK TRUST CO AMERICAS AS INDENTURE TRUSTEE', 'DEUTSCHE BANK NATIONAL TRUST', 'DEUTSCHE BANK TRUST CO AMERICAS', 'DEUTSCHE BANK AG NEW YORK BRANCH', 'DEUTSCHE BANK TRUST CO AMERICAS', 'DEUTSCHE BANK TRUST CO AMERICAS FORMERLY KNOWNAS BANKER TRUST CO', 'DEUTSCHE BANK TRUST CO AMERICAS', 'DEUTSCHE BANK AG NEW YORK BRANCH', 'DEUTSCHE BANK AG LONDON BRANCH', 'DEUTSCHE BANK TRUST CO AMERICAS', 'DEUTSCHE BANK TRUST CO AMERICAS F K A BANKERS TRUST CO', 'DEUTSCHE BANK TRUST CO AMERICAS', 'DEUTSCHE BANK AG NEW YORK BRANCH', 'DEUTSCHE BANK AG TOKYO BRANCH', 'DEUTSCHE BANK AG NEW YORK BRANCH', 'DEUTSCHE BANK NATIONAL TRUST COMANY', 'DEUTSCHE BANK TRUST CO AMERICAS FOR LENDERS', 'DEUTSCHE BANK TRUST CO AMERICAS AS COLLETERAL AGENT', 'DEUTSCHE BANK TRUST CO', 'DEUTSCHE BANK NATIONAL TRUST CO', 'DEUTSCHE BANK AG', 'DEUTSCHE BANK AG CAYMAN ISLANDS BRANCH', 'DEUTSCHE BANK AG CAYMAN ISLANDS BRANCH AS SECOND-LIEN COLLATERAL AGENT', 'DEUTSCHE BANK AG NEW YORK BRANCH', 'DEUTSCHE BANK TRUST CO AMERICAS', 'DEUTSCHE BANK AG NEW YORK BRANCH', 'DEUTSCHE BANK AG NEW YORK BRANCH AS SECURITY AGENT', 'DEUTSCHE BANK TRUST CO AMERICAS FORMERLY KNOWNAS BANKERS TRUST CO', 'DEUTSCHE BANK TRUST CO AMERICAS CORPORATE TRUST & AGENCY SERVICES', 'DEUTSCHE BANK AG NEW YORK BRANDH', 'DEUTSCHE BANK AG NEW YORK BRANCH AS REVOLVING COLLATERAL AGENT', 'DEUTSCHE BANK TRUST CO', 'DEUTSCHE BANK TRUST CO AMERICAS FORMERLY KNOWNAS BANKERS TRUST CO', 'DEUTSCHE BANK TRUST CO AMERICAS AS SECOND LIENADMINISTRATIVE AGENT', 'DEUTSCHE BANK AG NEW YORK BRANCH', 'DEUTSCHE BANK TRUST CO AMERICAS', 'DEUTSCHE BANK AG LONDON', 'DEUTSCHE BANK AG LONDON', 'DEUTSCHE BANK AG NEW YORK BRANCH', 'DEUTSCHE BANK AG LONDON BRANCH AS INTERCOMPANY BRIDGE COLLAGERAL AGENT', 'DEUTSCHE BANK AG LONDON BRANCH AS INTERCOMPANY PRIMARY COLLATERAL AGENT', 'DEUTSCHE BANK TRUST CO AMERICAS FORMERLY KNOWNAS BANKERS TRUST CO', 'DEUTSCHE BANK TRUST CO AMERICAS FORMERLY KNOWNAS BANKERS TRUST CO', 'DEUTSCHE BANK AG LONDON BRANCH', 'DEUTSCHE BANK AG LONDON BRANCH AS SECURITY AGENT', 'DEUTSCHE BANK NATIONAL TRUST CO', 'DEUTSCHE BANK TRUST CO AMERICAS F K A BANKERS TRUST CO', 'DEUTSCHE BANK TRUST CO AMERICAS CORPORATED TRUST & AGENCY SERVICES', 'DEUTSCHE BANK TRUST CO AMERICAS']"
38,55,92.26911906559152,88.42105263157895,WILMINGTON TRUST NA,"['WILMINGTON TRUST CO FOR THE CLASS B SECURED PARTIES', 'WILMINGTON TRUST NA AS SECOND COLLATERAL AGENT', 'WILMINGTON TRUST NA IN ITS CAPACITY & COLLATERAL AGENT FOR THE SECURED PARTIES', 'WILMINGTON TRUST NA', 'WILMINGTON TRUST LONDON LTD AS SECURITY AGENT', 'WILMINGTON TRUST', 'WILMINGTON TRUST FSB', 'WILMINGTON TRUST LONDON LTD', 'WILMINGTON TRUST FSB', 'WILMINGTON TRUST CO', 'WILMINGTON TRUST NA', 'WILMINGTON TRUST CO', 'WILMINGTON TRUST FSB', 'WILMINGTON TRUST NA', 'WILMINGTON TRUST CO RODNEY SQUARE NORTH WILMINGTON DE 19890 A DE BANKING CORP', 'WILMINGTON TRUST NA AS NOTE COLLATERAL AGENT', 'WILMINGTON TRUST CO A DE BANKING CORP', 'WILMINGTON TRUST NATIONAL ASSOCIATON', 'WILMINGTON TRUST CO & WADE WILLIAM J TRUSTEE', 'WILMINGTON TRUST CO', 'WILMINGTON TRUST CO RODNEY SQUARE NORTH WILMINGTON DELAWARE 19890 A CORP OF DE', 'WILMINGTON TRUST NA', 'WILMINGTON TRUST NA SOLELY IN ITS CAPACITY', 'WILMINGTON TRUST NA AS THE SUCCESSOR COLLATERAL AGENT', 'WILMINGTON TRUST FSB AS SECOND LIENADMINISTRATIVE AGENT', 'WILMINGTON TRUST NA', 'WILMINGTON TRUST CO & MICHAEL M LEDYARD TRUSTEE & INDIVIDUAL TRUSTEE', 'WILMINGTON TRUST NA', 'WILMINGTON TRUST CO', 'WILMINGTON TRUST CO RODNEY SQUARE NORTH WILMINGTON DELAWARE 19890 A DELAWARE BANK & TRUST CO', 'WILMINGTON TRUST NA', 'WILMINGTON TRUST NA FOR THE SECURED PARTIES', 'WILMINGTON TRUST LONDON LTD', 'WILMINGTON TRUST NA', 'WILMINGTON TRUST NA AS NOTES COLLATERAL TRUSTEE', 'WILMINGTON TRUST CO A DE CORP', 'WILMINGTON TRUST FSB', 'WILMINGTON TRUST NA AS SUCCESSOR BY MERGER TO WILMINGTON TRUST FSB', 'WILMINGTON TRUST CO', 'WILMINGTON TRUST CO A CORP OF DELEWARE', 'WILMINGTON TRUST NA', 'WILMINGTON TRUST', 'WILMINGTON TRUST NA', 'WILMINGTON TRUST NATIONAL ASSOCATION', 'WILMINGTON TRUST FSB AS NOTEHOLDER COLLATERAL AGENT', 'WILMINGTON TRUST NA -', 'WILMINGTON TRUST CO AS SECOND LIENAGENT', 'WILMINGTON TRUST NA', 'WILMINGTON TRUST NA AS CO-COLLATERAL TRUSTEE SUCCESSOR COLLATERAL TRUSTEE', 'WILMINGTON TRUST NA', 'WILMINGTON TRUST CO A DE BANKING CORP TRUSTEE UNDER THE TRUST AGREEMENT', 'WILMINGTON TRUST CO A DE BANKING CORP', 'WILMINGTON TRUST NA SECOND LIEN', 'WILMINGTON TRUST NA AS THE CURRENT ADMINISTRATIVE AGENT', 'WILMINGTON TRUST FSB']"
40,29,95.55610575913087,90.0,CITIBANK NA,"['CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA AS COLATERAL AGENT', 'CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA 641 LEXINGTONAVENUE NEW YORK NEW YORK 10043', 'CITIBANK NA 399 PARK AVE NEW YORK NY 10043', 'CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA CITIBANK', 'CITIBANK NA A NATIONAL BANKING ASSOCIATION', 'CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA 641 LEXINGTONAVENUE NEW YORK NEW YORK 10043', 'CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA', 'CITIBANK NA & COLLATERAL AGENT', 'CITIBANK NA COLLATERAL AGENT', 'CITIBANK NA']"
42,70,93.84586200611518,88.0,CITICORP USA INC,"['CITICORP INDUSTRIAL CREDIT INC A CORP OF DE', 'CITICORP USA INC AS ADMINISTRATOVE AGENT & CITICORP USA INC AS TERM C LOAN COLLATERAL AGENT', 'CITICORP USA INC', 'CITICORP NORTH AMERICA INC A DE CORP', 'CITICORP INDUSTRIAL CREDIT INC A CORP OF DE', 'CITICORP NORTH AMERICA INC', 'CITICORP USA INC', 'CITICORP USA INC', 'CITICORP NORTH AMERICA INC', 'CITICORP NORTH AMERICA INC', 'CITICORP INDUSTRIAL CREDIT INC', 'CITICORP INDUSTRIAL CREDIT INC A DE CORP', 'CITICORP USA INC AS TERM C LOAN COLLATERAL AGENT & CITICORP USA INC', 'CITICORP USA INC', 'CITICORP NORTH AMERICA INC A DE CORP', 'CITICORP NORTH AMERICA', 'CITICORP NORTH AMERICA INC', 'CITICORP INDUSTIRAL CREDIT INC', 'CITICORP NORTH AMERICA INC', 'CITICORP INDUSTRIAL CREDIT INC', 'CITICORP INDUSTRIAL CREDIT A CORP OF DE', 'CITICORP INDUSTRIAL CREDIT INC A CORP OF DE', 'CITICORP USA INC C O CITIBANK DELAWARE', 'CITICORP NORTH AMERICA INC FOR THE SECURED CREDITORS UNDER THE TERM CREDIT AGREEMENT', 'CITICORP INDUSTRIAL CREDIT INC', 'CITICORP NORTH AMERICA INC FOR THE SECURED CREDITORS UNDER THE ABL CREDIT AGREEMENT', 'CITICORP NORTH AMERICA INC 599 LEXINGTONAVE NEW YORK NY 10043 A CORP OF DE', 'CITICORP NORTH AMERICA INC', 'CITICORP USA INC', 'CITICORP USA INC', 'CITICORP', 'CITICORP CAPITAL INVESTORS LTD', 'CITICORP INDUSTRIAL CREDIT INC 725 SOUTH FIGUEROA STREET LOS ANGELES CALIFORNIA 90017', 'CITICORP INDUSTRIAL CREDIT INC BOND COURT BLDG STE 615 1300 E 9TH ST CLEVELAND OH 44114', 'CITICORP NORTH AMERICA INC AS REVOLVING CREDIT COLLATERAL AGENT', 'CITICORP NORTH AMERICA INC FOR THE FIRST-PRIORITY SECURED PARTIES', 'CITICORP NORTH AMERICAN INC', 'CITICORP USA INC', 'CITICORP USA INC C O CITIBANK DELAWARE', 'CITICORP USA INC', 'CITICORP USA INC FOR BANK PRIORITY SECURED PARTIES', 'CITICORP USA INC FOR HEDGE PRIORITY SECURED PARTIES', 'CITICORP USA INC', 'CITICORP NORTH AMERICA INC', 'CITICORP USA INC', 'CITICORP USA INC AS TERM C LOAN COLLATERAL AGENT', 'CITICORP USA INC', 'CITICORP USA INC', 'CITICORP NORTH AMERICA INC A CORP OF DE', 'CITICORP NORTH AMERICAS INC FOR THE SECURED CREDITORS UNDER THE ABL CREDIT AGREEMENT', 'CITICORP NORTH AMERICA INC', 'CITICORP USA INC AS SECURITY AGENT', 'CITICORP MEZZANINE III LP', 'CITICORP TRUSTEE CO LTD', 'CITICORP INTERNATIONAL LTD AS COMMON SECURITY AGENT', 'CITICORP MILTILEASE SEF INC', 'CITICORP NORTH AMERICA INC', 'CITICORP NORTH AMERICA INC SECOND LIEN', 'CITICORP NORTH AMERICA INC FIRST LIEN', 'CITICORP USA INC A DELAWARE CORP', 'CITICORP USA INC A DELAWARE CORP', 'CITICORP TRUSTEE CO LTD AS SECURITY AGENT', 'CITICORP VENTURE CAPITAL LTD', 'CITICORP NORTH AMERICA INC', 'CITICORP INDUSTRIL CREDIT INC 450 MAMARONECK AVE HARRISON NY 10528 A CORP', 'CITICORP NORTH AMERICA INC', 'CITICORP VENTURE CAPITAL LTD', 'CITICORP USA INC', 'CITICORP USA INC', 'CITICORP NORTH AMERICA INC']"
47,45,97.0573819302069,88.23529411764706,WELLS FARGO BANK NA,"['WELLS FARGO BANK NA', 'WELLS FARGO BANK OF TEXAS', 'WELLS FAGO BANK NA', 'WELLS FARGO BANK MINNESOTA NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BNAK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK TEXAS NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK TEXAS NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA LEGAL DEPT', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK MINNESOTA NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA -', 'WELLS FARGO BANK', 'WELLS FARGO BANK MINNESOTA NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NORTHWEST NA', 'WELLS FARGO BANK TEXAS', 'WELLS FARGO BANK MINNESOTA NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK TEXAS', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO HSBC TRADE BANK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK', 'WELLS FARGO BANK NA', 'WELLS FARGO BANK TEXAS NA']"
