entity_id,original_name,normalized_name,standard_name,frequency,component_size,avg_similarity,min_similarity,needs_review
non_financial_0,DELL PRODUCTS L.P.,DELL PRODUCTS LP,DELL PRODUCTS LP,55314,2,100.0,100.0,False
non_financial_0,"DELL PRODUCTS, L.P.",DELL PRODUCTS LP,DELL PRODUCTS LP,278,2,100.0,100.0,False
non_financial_1,DELL INTERNATIONAL L.L.C.,DELL INTERNATIONAL LLC,DELL INTERNATIONAL LLC,39183,2,100.0,100.0,False
non_financial_1,"DELL INTERNATIONAL, L.L.C.",DELL INTERNATIONAL LLC,DELL INTERNATIONAL LLC,115,2,100.0,100.0,False
non_financial_2,"DELL CORPORATE SERVICES CORPORATION, A CORP. OF DE",DELL CORPORATE SERVICES CORP A CORP OF DE,DELL CORPORATE SERVICES CORP A CORP OF DE,20,2,95.0,95.0,False
non_financial_2,DELL CORPORATE SERVICES CORPORATION,DELL CORPORATE SERVICES CORP,DELL CORPORATE SERVICES CORP A CORP OF DE,6,2,95.0,95.0,False
non_financial_3,WYSE TECHNOLOGY L.L.C.,WYSE TECHNOLOGY LLC,WYSE TECHNOLOGY LLC,51331,3,89.73684210526315,89.47368421052632,True
non_financial_3,"WYSE TECHNOLOGY INC., A DE CORP.",WYSE TECHNOLOGY INC A DE CORP,WYSE TECHNOLOGY LLC,2,3,89.73684210526315,89.47368421052632,True
non_financial_3,WYSE TECHNOLOGY INC.,WYSE TECHNOLOGY INC,WYSE TECHNOLOGY LLC,4,3,89.73684210526315,89.47368421052632,True
non_financial_4,"GM GLOBAL TECHNOLOGY OPERATIONS, INC.",GM GLOBAL TECHNOLOGY OPERATIONS INC,GM GLOBAL TECHNOLOGY OPERATIONS INC,42214,2,94.28571428571428,94.28571428571428,False
non_financial_4,GM GLOBAL TECHNOLOGY OPERATIONS LLC,GM GLOBAL TECHNOLOGY OPERATIONS LLC,GM GLOBAL TECHNOLOGY OPERATIONS INC,3738,2,94.28571428571428,94.28571428571428,False
non_financial_5,CREDANT TECHNOLOGIES INC.,CREDANT TECHNOLOGIES INC,CREDANT TECHNOLOGIES INC,11354,2,100.0,100.0,False
non_financial_5,"CREDANT TECHNOLOGIES, INC.",CREDANT TECHNOLOGIES INC,CREDANT TECHNOLOGIES INC,36247,2,100.0,100.0,False
non_financial_6,"XEROX COMMERCIAL SOLUTIONS, LLC (F/K/A ACS COMMERCIAL SOLUTIONS, INC.)",XEROX COMMERCIAL SOLUTIONS LLC F K A ACS COMMERCIAL SOLUTIONS INC,XEROX HR SOLUTIONS LLC F K A ACS HR SOLUTIONS LLC,19,2,90.327868852459,90.327868852459,False
non_financial_6,"XEROX HR SOLUTIONS, LLC (F/K/A ACS HR SOLUTIONS, LLC)",XEROX HR SOLUTIONS LLC F K A ACS HR SOLUTIONS LLC,XEROX HR SOLUTIONS LLC F K A ACS HR SOLUTIONS LLC,19,2,90.327868852459,90.327868852459,False
non_financial_7,FREESCALE ACQUISITION CORPORATION,FREESCALE ACQUISITION CORP,FREESCALE ACQUISITION CORP,4901,2,95.0,95.0,False
non_financial_7,FREESCALE ACQUISITION HOLDINGS CORP.,FREESCALE ACQUISITION HOLDINGS CORP,FREESCALE ACQUISITION CORP,4901,2,95.0,95.0,False
non_financial_8,COMMSCOPE OF NORTH CAROLINA,COMMSCOPE OF NORTH CAROLINA,COMMSCOPE INC OF NORTH CAROLINA,5,4,93.75,90.0,False
non_financial_8,"COMMSCOPE, INC. OF NORTH CAROLINA, A NORTH CAROLINA CORPORATION",COMMSCOPE INC OF NORTH CAROLINA A NORTH CAROLINA CORP,COMMSCOPE INC OF NORTH CAROLINA,823,4,93.75,90.0,False
non_financial_8,"COMMSCOPE, INC. OF NORTH CAROLINA",COMMSCOPE INC OF NORTH CAROLINA,COMMSCOPE INC OF NORTH CAROLINA,16126,4,93.75,90.0,False
non_financial_8,"COMMSCOPE, INC OF NORTH CAROLINA, A NORTH CAROLINA CORPORATION",COMMSCOPE INC OF NORTH CAROLINA A NORTH CAROLINA CORP,COMMSCOPE INC OF NORTH CAROLINA,824,4,93.75,90.0,False
non_financial_9,MICROSEMI CORP.-ANALOG MIXED SIGNAL GROUP,MICROSEMI CORP -ANALOG MIXED SIGNAL GROUP,MICROSEMI CORP,156,11,90.84482758620689,88.44827586206895,False
non_financial_9,MICROSEMI SOC CORP.,MICROSEMI SOC CORP,MICROSEMI CORP,156,11,90.84482758620689,88.44827586206895,False
non_financial_9,"MICROSEMI STORAGE SOLUTIONS (U.S.), INC. (F/K/A PMC-SIERRA US, INC.)",MICROSEMI STORAGE SOLUTIONS US INC F K A PMC-SIERRA US INC,MICROSEMI CORP,615,11,90.84482758620689,88.44827586206895,False
