idx1,idx2,similarity,name1,name2
0,2,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,15,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,29,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,35,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,36,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA & NOTES COLLATERAL AGENT
0,68,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,76,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON
0,94,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON
0,100,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,122,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,123,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON
0,128,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA AS SECOND LIENAGENT
0,132,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,145,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,151,95.52238805970148,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST NA
0,158,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,180,95.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK TRUST CO NA
0,202,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON
0,215,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,314,95.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK TRUST CO NA
0,365,95.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA & GRANTEE
0,391,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,497,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,524,95.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK TRUST CO NA
0,831,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,1067,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,1147,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA & US COLLATERAL AGENT
0,1414,95.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK TRUST CO NA
0,1446,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,1508,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,1914,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,2821,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,3254,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,3688,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,3910,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,4260,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA AS JUNIOR NOTES COLLATERAL AGENT
0,4261,95.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK TRUST TRUST CO NA
0,4723,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON
0,6462,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON
0,6764,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
2,15,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
2,29,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
2,35,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
2,36,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA & NOTES COLLATERAL AGENT
2,68,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
