original_name,frequency,normalized_name
"1,4GROUP, INC.",7,1 4GROUP INC
10X FUND L.P.,4,10X FUND LP
"10X FUND, LP",4,10X FUND LP
1172038 ALBERTA ULC,4,1172038 ALBERTA ULC
1192159 ONTARIO INC.,10,1192159 ONTARIO INC
"1538731 ALBERTA LTD., AS AGENT",38,1538731 ALBERTA LTD
1695382 ONTARIO LIMITED,10,1695382 ONTARIO LTD
1998 CO-INVESTING LLC,10,1998 CO-INVESTING LLC
"1PM, INC.",1,1PM INC
2002 MEAD & CAROL TREADWELL REVERSIBLE TRUST,1,2002 MEAD & CAROL TREADWELL REVERSIBLE TRUST
"21 VC FUND II, L.P.",6,21 VC FUND II LP
"212 HOLDINGS, LLC",2,212 HOLDINGS LLC
"2120 INVESTMENTS, INC.",2,2120 INVESTMENTS INC
"2180 ASSOCIATES FUND V, L.P.",2,2180 ASSOCIATES FUND V LP
3I CORPORATION,27,3I CORP
3I TECHNOLOGY PARTNERS L.P.,1,3I TECHNOLOGY PARTNERS LP
"3I, L.P.",13,3I LP
"3I, LP",8,3I LP
3M COMPANY,3,3M CO
3M INNOOVATIVE PROPERTIES COMPANY,1,3M INNOOVATIVE PROPERTIES CO
3M INNOVATIVE PROPERTIES COMPANY,6,3M INNOVATIVE PROPERTIES CO
"3PARDATA, INC.",2,3PARDATA INC
3VS1 ASIA GROWTH FUND LTD.,4,3VS1 ASIA GROWTH FUND LTD
446 BLAKE ST. LLC,2,446 BLAKE ST LLC
4515218 CANADA INC.,1,4515218 CANADA INC
724 SOLUTIONS SOFTWARE INC.,8,724 SOLUTIONS SOFTWARE INC
"911 EMERGENCY PRODUCTS, INC.",4,911 EMERGENCY PRODUCTS INC
9938982 CANADA INC.,6,9938982 CANADA INC
"A.M. PAPPAS LIFE SCIENCE VENTURES I, L.P., AS COLLATERAL AGENT",5,A M PAPPAS LIFE SCIENCE VENTURES I LP
A.M.M. INC.,1,A M M INC
"AAS, DAVID",4,AAS DAVID
"AAVID THERMAL TECHNOLOGIES, INC.",17,AAVID THERMAL TECHNOLOGIES INC
"AB LENDING SPV I LLC, D/B/A MOUNTAIN RIDGE CAPITAL",7,AB LENDING SPV I LLC D B A MOUNTAIN RIDGE CAPITAL
"AB PRIVATE CREDIT INVESTORS LLC, AS COLLATERAL AGENT",60,AB PRIVATE CREDIT INVESTORS LLC
"ABACUS FINANCE GROUP, LLC",14,ABACUS FINANCE GROUP LLC
ABBOTT LABORATORIES,7,ABBOTT LABORATORIES
ABBOTT VASCULAR INC.,34,ABBOTT VASCULAR INC
"ABC FUNDING, LLC",4,ABC FUNDING LLC
ABELCO FINANCE LLC,38,ABELCO FINANCE LLC
"ABELCO FINANCE LLC, AS AGENT",7,ABELCO FINANCE LLC
