blocking_key,block_size,sample_names
CHARTER,89,"CHARTER COMMUNICATIONS OPERATING LLC, CHARTER ADVANCED SERVICES AL LLC, CHARTER ADVANCED SERVICES CA LLC"
HERCULES,76,"HERCULES INC, HERCULES FLAVOR INC A DELAWARE CORP, HERCULES COUNTRY CLUB INC A DELAWARE CORP"
NEW,64,"BANK OF NEW YORK MELLON TRUST CO NA, NEW WISCONSIN PROCUREMENT LLC, NEW CARCO ACQUISITION LLC"
TIME,62,"TIME WARNER CABLE ENTERPRISES LLC, TIME WARNER CABLE INTERNET LLC, TIME WARNER CABLE BUSINESS LLC"
GENERAL,56,"GENERAL MOTORS CORP, GENERAL MOTORS CO, GENERAL INSTRUMENT AUTHORIZATION SERVICES INC"
ADVANCED,54,"ADVANCED TECHNOLOGY MATERIALS INC, ADVANCED MEDICAL OPTICS INC, ADVANCED DIGITAL INFORMATION CORP"
CLEAN,51,"CLEAN BEAUTY 4U HOLDINGS LLC, CLEAN HARBORS INDUSTRIAL SERVICES INC, CLEAN HARBORS CATALYST TECHNOLOGIES LLC"
LAIDLAW,51,"LAIDLAW CHEMICAL SERVICES INC, LAIDLAW ENVIROMENTAL SERVICES INC, LAIDLAW ENVIRONMENTAL SERVICES ALTAIR INC"
ATK,50,"ATK COMMERCIAL AMMUNITION CO INC, ATK LAUNCH SYSTEMS INC, ATK SPACE SYSTEMS INC"
QUEBECOR,49,"QUEBECOR PRINTING AVIATION INC, QUEBECOR PRINTING HOLDING CO, QUEBECOR WORLD USA INC"
ACS,40,"ACS APPLICATION MANAGEMENT SERVICES INC, ACS BRC HOLDINGS INC, ACS BUSINESS RESOURCES CORP"
DIGITAL,37,"DIGITAL RIVER INC, DIGITAL ALLY INC, DIGITAL ANGEL CORP"
FIRST,36,"FIRST DATA CORP, FIRST SOLAR INC, FIRST DATA RESOURCES INC K NA FIRST DATA RESOURCES LLC"
ALLIANT,35,"ALLIANT TECHSYSTEMS INC, ALLIANT INTERNATIONAL HOLDINGS INC, ALLIANT AMMUNITION SYSTEMS CO LLC"
APPLIED,35,"APPLIED BIOSYSTEMS LLC, APPLIED EXTRUSION TECHNOLOGIES INC, APPLIED OPTOELECTRONICS INC"
UNITED,34,"UNITED VIDEO PROPERTIES INC, UNITED VIDEO PROPERTIES INC A DELAWARE CORP, UNITED INDUSTRIES CORP"
GLOBAL,32,"GLOBAL CASH ACCESS INC, GLOBAL ADVANCED METALS USA INC, GLOBAL PAYMENTS INC"
SILICON,31,"SILICON STORAGE TECHNOLOGY INC, SILICON GRAPHICS INC, SILICON IMAGE INC"
TI,31,"TI GROUP AUTOMOTIVE SYSTEMS LLC, TI SERVICES INC, TI AUTOMOTIVE LLC"
TRACOR,31,"TRACOR INC, TRACOR AEROSPACE INC, TRACOR HOLDINGS INC TRACOR INC & OTHERS INDICATED ON SCHEDULE SA"
KEY,30,"KEY TECHNOLOGY INC, KEY TRONIC CORP, KEY CAYMAN GP LLC"
UNIVERSAL,25,"UNIVERSAL ELECTRONICS INC, UNIVERSAL LIGHTING TECHNOLOGIES INC, UNIVERSAL AVIONICS SYSTEMS CORP"
