idx1,idx2,similarity,name1,name2
105,106,96.2962962962963,A P PARMA INC,A P PHARMA INC
10,11,95.0,2011 INTELLECTUAL PROPERTY ASSET TRUST,2011 INTELLECTUAL PROPERTY TRUST
14,15,88.89908256880734,21ST CENTURY ENVIRONMENTAL MANAGEMENT INC OF NEVADA A NEVADA CORP,21ST CENTURY ENVIRONMENTAL MANAGEMENT INC OF RHODE ISLAND A RHODE ISLAND CORP
37,43,90.0,3DLABS INC A CORP OF DE,3DLABS INC
38,39,90.0,3DLABS INC LTD,3DLABS INC LTD A CO ORGANIZED UNDER THE LAWS OF BERMUDA
38,40,90.0,3DLABS INC LTD,3DLABS INC LTD & CERTAIN OF PARENT S SUBSIDIARIES
38,41,95.0,3DLABS INC LTD,3DLABS LTD
38,43,95.0,3DLABS INC LTD,3DLABS INC
39,43,90.0,3DLABS INC LTD A CO ORGANIZED UNDER THE LAWS OF BERMUDA,3DLABS INC
40,43,90.0,3DLABS INC LTD & CERTAIN OF PARENT S SUBSIDIARIES,3DLABS INC
41,42,90.0,3DLABS LTD,3DLABS LTD A CO ORGANIZED UNDER THE LAWS OF ENGLAND
43,44,90.0,3DLABS INC,3DLABS INC A DELAWARE CORP
54,55,90.0,4520 CORP INC,4520 CORP INC A DELAWARE CORP
56,57,90.0,4FRONT ENGINEERED SOLUTIONS INC,4FRONT ENGINEERED SOLUTIONS INC F K A DOCK PRODUCTS CANADA INC
56,58,90.0,4FRONT ENGINEERED SOLUTIONS INC,4FRONT ENGINEERED SOLUTIONS INC F K A SPX DOCK PRODUCTS INC
56,59,90.0,4FRONT ENGINEERED SOLUTIONS INC,4FRONT ENGINEERED SOLUTIONS INC F K A SPX DOCK PRODUCTS INC
57,58,91.41509433962264,4FRONT ENGINEERED SOLUTIONS INC F K A DOCK PRODUCTS CANADA INC,4FRONT ENGINEERED SOLUTIONS INC F K A SPX DOCK PRODUCTS INC
57,59,91.41509433962264,4FRONT ENGINEERED SOLUTIONS INC F K A DOCK PRODUCTS CANADA INC,4FRONT ENGINEERED SOLUTIONS INC F K A SPX DOCK PRODUCTS INC
58,59,100.0,4FRONT ENGINEERED SOLUTIONS INC F K A SPX DOCK PRODUCTS INC,4FRONT ENGINEERED SOLUTIONS INC F K A SPX DOCK PRODUCTS INC
69,70,90.0,724 HOLDINGS INC,724 HOLDINGS INC A DELAWARE CORP
71,72,90.0,724 SOLUTIONS US INC,724 SOLUTIONS US INC A DELAWARE CORP
72,74,90.86956521739131,724 SOLUTIONS US INC A DELAWARE CORP,724 SOLUTIONS INTERNATIONAL INC A DELAWARE CORP
72,76,90.86956521739131,724 SOLUTIONS US INC A DELAWARE CORP,724 SOLUTIONS SOFTWARE INC A DELAWARE CORP
73,74,90.0,724 SOLUTIONS INTERNATIONAL INC,724 SOLUTIONS INTERNATIONAL INC A DELAWARE CORP
75,76,90.0,724 SOLUTIONS SOFTWARE INC,724 SOLUTIONS SOFTWARE INC A DELAWARE CORP
188,189,90.0,AC HOLDCO INC SUCCESSOR IN INTEREST TO AC HOLDCO LLC,AC HOLDCO LLC
190,191,95.0,AC LABEL CO,AC LABEL CO INC
102,728,88.23529411764706,AG INDUSTRIES INC,AG INDUSTRIES LLC
115,116,100.0,AAF-MCQUAY INC,AAF-MCQUAY INC
120,121,90.0,AAIPHARMA LLC,AAIPHARMA LLC A DELAWARE LTD LIABILITY CO
126,131,95.0,AAVID CORP F K A AAVID THERMAL PRODUCTS INC,AAVID THERMAL CORP F K A THERMAL CORP
126,132,90.0,AAVID CORP F K A AAVID THERMAL PRODUCTS INC,AAVID THERMAL PRODUCTS INC
130,131,90.0,AAVID THERMAL CORP,AAVID THERMAL CORP F K A THERMAL CORP
134,135,100.0,AAVID THERMALLOY LLC,AAVID THERMALLOY LLC
138,139,100.0,ABACO SYSTEMS HOLDING CORP,ABACO SYSTEMS HOLDING CORP
140,141,100.0,ABACO SYSTEMS INC,ABACO SYSTEMS INC
140,142,100.0,ABACO SYSTEMS INC,ABACO SYSTEMS INC
140,143,90.0,ABACO SYSTEMS INC,ABACO SYSTEMS INC A DELAWARE CORP
141,142,100.0,ABACO SYSTEMS INC,ABACO SYSTEMS INC
141,143,90.0,ABACO SYSTEMS INC,ABACO SYSTEMS INC A DELAWARE CORP
142,143,90.0,ABACO SYSTEMS INC,ABACO SYSTEMS INC A DELAWARE CORP
154,155,90.0,ABC RAIL CORP,ABC RAIL CORP A CORP OF DE
154,156,90.0,ABC RAIL CORP,ABC RAIL CORP A CORP OF DE
155,156,100.0,ABC RAIL CORP A CORP OF DE,ABC RAIL CORP A CORP OF DE
158,159,96.0,ABC TECH CORP,ABC TECHCORP
167,168,100.0,ABLECO FINANCE LLC,ABLECO FINANCE LLC
170,171,100.0,ABNAMRO BANK NV,ABNAMRO BANK NV
177,178,90.0,ABRASIVE INDUSTRIES INC,ABRASIVE INDUSTRIES INC A CORP OF DE
177,179,90.0,ABRASIVE INDUSTRIES INC,ABRASIVE INDUSTRIES INC A CORP OF DE
177,180,100.0,ABRASIVE INDUSTRIES INC,ABRASIVE INDUSTRIES INC
178,179,100.0,ABRASIVE INDUSTRIES INC A CORP OF DE,ABRASIVE INDUSTRIES INC A CORP OF DE
178,180,90.0,ABRASIVE INDUSTRIES INC A CORP OF DE,ABRASIVE INDUSTRIES INC
179,180,90.0,ABRASIVE INDUSTRIES INC A CORP OF DE,ABRASIVE INDUSTRIES INC
197,198,95.0,ACADIA ELASTOMERS CORP,ACADIA ELASTOMERS CORP A DE CORP
201,202,98.18181818181819,ACAS ACQUISITION ESCORT INC,ACAS ACQUISITIONS ESCORT INC
203,204,100.0,ACB TECHNOLOGY CORP,ACB TECHNOLOGY CORP
210,211,100.0,ACCELERATED CARE PLUS CORP,ACCELERATED CARE PLUS CORP
227,228,90.0,ACCO BRANDS CORP,ACCO BRANDS CORP A DELAWARE CORP
230,231,90.0,ACCO BRANDS USA LLC,ACCO BRANDS USA LLC A DELAWARE LTD LIABILITY CO BOONE INTERNATIONAL INC A CALIFORNIA CORP GENERAL BINDING CORP A DELAWARE CORP
233,234,100.0,ACCO EUROPE INTERNATIONAL HOLDINGS LLC,ACCO EUROPE INTERNATIONAL HOLDINGS LLC
233,235,88.44827586206895,ACCO EUROPE INTERNATIONAL HOLDINGS LLC,ACCO INTERNATIONAL HOLDINGS INC
234,235,88.44827586206895,ACCO EUROPE INTERNATIONAL HOLDINGS LLC,ACCO INTERNATIONAL HOLDINGS INC
238,239,90.0,ACCOM INC A DELAWARE CORP,ACCOM INC
252,253,90.0,ACCURIDE CORP,ACCURIDE CORP ACCURIDE EMI LLC & GUNITE CORP
252,254,90.0,ACCURIDE CORP,ACCURIDE CORP ACCURIDE EMI LLC & GUNITE CORP
253,254,100.0,ACCURIDE CORP ACCURIDE EMI LLC & GUNITE CORP,ACCURIDE CORP ACCURIDE EMI LLC & GUNITE CORP
253,255,90.0,ACCURIDE CORP ACCURIDE EMI LLC & GUNITE CORP,ACCURIDE EMI
253,256,90.0,ACCURIDE CORP ACCURIDE EMI LLC & GUNITE CORP,ACCURIDE EMI LLC
254,255,90.0,ACCURIDE CORP ACCURIDE EMI LLC & GUNITE CORP,ACCURIDE EMI
254,256,90.0,ACCURIDE CORP ACCURIDE EMI LLC & GUNITE CORP,ACCURIDE EMI LLC
255,256,95.0,ACCURIDE EMI,ACCURIDE EMI LLC
259,260,100.0,ACCUTRON INC,ACCUTRON INC
273,274,100.0,ACETO LIFE SCIENCES LLC,ACETO LIFE SCIENCES LLC
284,285,90.0,ACLARA METERS LLC,ACLARA METERS LLC F K A MRH METERS LLC
286,287,100.0,ACLARA TECHNOLOGIES LLC,ACLARA TECHNOLOGIES LLC
289,290,100.0,ACM BLOCK & BRICK PARTNER LLC,ACM BLOCK & BRICK PARTNER LLC
289,291,95.0,ACM BLOCK & BRICK PARTNER LLC,ACM BLOCK & BRICK LLC
289,292,95.0,ACM BLOCK & BRICK PARTNER LLC,ACM BLOCK & BRICK LLC
290,291,95.0,ACM BLOCK & BRICK PARTNER LLC,ACM BLOCK & BRICK LLC
290,292,95.0,ACM BLOCK & BRICK PARTNER LLC,ACM BLOCK & BRICK LLC
291,292,100.0,ACM BLOCK & BRICK LLC,ACM BLOCK & BRICK LLC
291,293,92.6829268292683,ACM BLOCK & BRICK LLC,ACM BLOCK & BRICK LP
291,294,92.6829268292683,ACM BLOCK & BRICK LLC,ACM BLOCK & BRICK LP
292,293,92.6829268292683,ACM BLOCK & BRICK LLC,ACM BLOCK & BRICK LP
292,294,92.6829268292683,ACM BLOCK & BRICK LLC,ACM BLOCK & BRICK LP
293,294,100.0,ACM BLOCK & BRICK LP,ACM BLOCK & BRICK LP
295,296,100.0,ACM FLEXCRETE LP,ACM FLEXCRETE LP
297,298,100.0,ACM GEORGIA INC,ACM GEORGIA INC
312,313,100.0,ACP OF DELAWARE INC,ACP OF DELAWARE INC
317,318,94.73684210526316,ACPP C HOLDINGS INC,ACPP S HOLDINGS INC
322,323,100.0,ACRES GAMING INC A NEVADA CORP,ACRES GAMING INC A NEVADA CORP
324,325,100.0,ACRESSO SOFTWARE INC,ACRESSO SOFTWARE INC
369,370,95.0,ACT TELECONFERENCING,ACT TELECONFERENCING INC
373,374,90.0,ACTAVIS MID ATLANTIC LLC,ACTAVIS MID ATLANTIC LLC A LTD LIABILITY CO
376,377,90.0,ACTERNA LLC,ACTERNA LLC F K A DYNATECH LLC
376,378,90.0,ACTERNA LLC,ACTERNA LLC SUCCESSOR TO APPLIED DIGITAL ACCESS INC
376,379,90.0,ACTERNA LLC,ACTERNA LLC ACTERNA CORP
388,389,90.0,ACTION INDUSTRIES INC,ACTION INDUSTRIES INC A CORP OF VIRGINIA
391,392,90.0,ACTION TARGET INC,ACTION TARGET INC F K A ACTION TARGET ACQUISITION CORP
393,394,90.0,ACTION TRANSPORT INC,ACTION TRANSPORT INC A DELAWARE CORP
396,23069,88.88888888888889,ACTIVE NETWORK LLC,ACTIVE NETWORK INC
396,23070,88.88888888888889,ACTIVE NETWORK LLC,ACTIVE NETWORK INC
23069,23070,100.0,ACTIVE NETWORK INC,ACTIVE NETWORK INC
400,401,100.0,ACTIVISION BLIZZARD INC,ACTIVISION BLIZZARD INC
