original_name,frequency,normalized_name
"""A"" COMPANY ORTHODONTICS",59,A CO ORTHODONTICS
"""CAROLINE"" EINHUDERTDRITTE VERMOGENSVERWALTUNGSGESELLSCHAFT",16,CAROLINE EINHUDERTDRITTE VERMOGENSVERWALTUNGSGESELLSCHAFT
0741693 B.C. LTD.,25,0741693 B C LTD
0741693 BRITISH COLUMBIA LTD.,112,0741693 BRITISH COLUMBIA LTD
"101 ACQUISITION, INC.",2,101 ACQUISITION INC
17111 WATERVIEW PKWY LLC,303,17111 WATERVIEW PKWY LLC
"180 MEDICAL, INC.",40,180 MEDICAL INC
"1900 CEDAR SPRINGS, LP",1,1900 CEDAR SPRINGS LP
1966,11,1966
1ST DETECT CORPORATION,13,1ST DETECT CORP
2011 INTELLECTUAL PROPERTY ASSET TRUST,1,2011 INTELLECTUAL PROPERTY ASSET TRUST
2011 INTELLECTUAL PROPERTY TRUST,1,2011 INTELLECTUAL PROPERTY TRUST
"205 DEVELOPMENT DRIVE, LLC",2,205 DEVELOPMENT DRIVE LLC
"21CT, INC.",3,21CT INC
"21ST CENTURY ENVIRONMENTAL MANAGEMENT, INC. OF NEVADA, A NEVADA CORPORATION",18,21ST CENTURY ENVIRONMENTAL MANAGEMENT INC OF NEVADA A NEVADA CORP
"21ST CENTURY ENVIRONMENTAL MANAGEMENT, INC. OF RHODE ISLAND, A RHODE ISLAND CORPORATION",18,21ST CENTURY ENVIRONMENTAL MANAGEMENT INC OF RHODE ISLAND A RHODE ISLAND CORP
21X CAPITAL LTD.,6,21X CAPITAL LTD
"22ND CENTURY GROUP, INC.",43,22ND CENTURY GROUP INC
"22ND CENTURY LIMITED, LLC",8,22ND CENTURY LTD LLC
"2600HZ, INC.",2,2600HZ INC
"2GIG TECHNOLOGIES, INC.",2,2GIG TECHNOLOGIES INC
"2K GAMES, INC.",1,2K GAMES INC
"2KSPORTS, INC.",1,2KSPORTS INC
"2WIRE, INC.",32,2WIRE INC
3 DAY BLINDS LLC,2,3 DAY BLINDS LLC
"3-V FASTENER CO., INC.",26,3-V FASTENER CO INC
3090547 NOVA SCOTIA COMPANY,5,3090547 NOVA SCOTIA CO
3091796 NOVA SCOTIA COMPANY,83,3091796 NOVA SCOTIA CO
"310 GLOBAL BRANDS, INC.",3,310 GLOBAL BRANDS INC
333 ASSOCIATES LLC,42,333 ASSOCIATES LLC
333 PARTNERS LLC,42,333 PARTNERS LLC
"360FLY, INC.",1,360FLY INC
3D NANOCOLOR CORP.,67,3D NANOCOLOR CORP
"3D ROBOTICS, INC.",4,3D ROBOTICS INC
"3D SYSTEMS, INC.",464,3D SYSTEMS INC
"3D-ID, LLC",46,3D-ID LLC
3DLABS (ALABAMA) INC.,96,3DLABS ALABAMA INC
