original_name,frequency,normalized_name,blocking_key
DELL PRODUCTS L.P.,55314,DELL PRODUCTS LP,DELL
WYSE TECHNOLOGY L.L.C.,51331,WYSE TECHNOLOGY LLC,WYSE
"MICRON TECHNOLOGY, INC.",48411,MICRON TECHNOLOGY INC,MICRON
DELL MARKETING L.P.,47600,DELL MARKETING LP,DELL
DELL USA L.P.,47600,DELL USA LP,DELL
"FORCE10 NETWORKS, INC.",47600,FORCE10 NETWORKS INC,FORCE10
EMC IP HOLDING COMPANY LLC,46448,EMC IP HOLDING CO LLC,EMC
EMC CORPORATION,45477,EMC CORP,EMC
"GM GLOBAL TECHNOLOGY OPERATIONS, INC.",42214,GM GLOBAL TECHNOLOGY OPERATIONS INC,GM
DELL INTERNATIONAL L.L.C.,39183,DELL INTERNATIONAL LLC,DELL
"CREDANT TECHNOLOGIES, INC.",36247,CREDANT TECHNOLOGIES INC,CREDANT
EASTMAN KODAK COMPANY,32355,EASTMAN KODAK CO,EASTMAN
XEROX CORPORATION,31114,XEROX CORP,XEROX
DELL SOFTWARE INC.,25806,DELL SOFTWARE INC,DELL
"ASAP SOFTWARE EXPRESS, INC.",25226,ASAP SOFTWARE EXPRESS INC,ASAP
"PAKON, INC.",24477,PAKON INC,PAKON
"FREESCALE SEMICONDUCTOR, INC.",22512,FREESCALE SEMICONDUCTOR INC,FREESCALE
ATMEL CORPORATION,20376,ATMEL CORP,ATMEL
COMMSCOPE TECHNOLOGIES LLC,19703,COMMSCOPE TECHNOLOGIES LLC,COMMSCOPE
MICROSEMI CORPORATION,18804,MICROSEMI CORP,MICROSEMI
"SILICON STORAGE TECHNOLOGY, INC.",17861,SILICON STORAGE TECHNOLOGY INC,SILICON
"MICROSEMI STORAGE SOLUTIONS, INC.",17507,MICROSEMI STORAGE SOLUTIONS INC,MICROSEMI
"MOZY, INC.",17404,MOZY INC,MOZY
AVENTAIL LLC,16873,AVENTAIL LLC,AVENTAIL
DELL SYSTEMS CORPORATION,16532,DELL SYSTEMS CORP,DELL
MAGINATICS LLC,16532,MAGINATICS LLC,MAGINATICS
SCALEIO LLC,16532,SCALEIO LLC,SCALEIO
SPANNING CLOUD APPS LLC,16532,SPANNING CLOUD APPS LLC,SPANNING
"COMMSCOPE, INC. OF NORTH CAROLINA",16126,COMMSCOPE INC OF NORTH CAROLINA,COMMSCOPE
ARRIS ENTERPRISES LLC,15626,ARRIS ENTERPRISES LLC,ARRIS
"MICRON SEMICONDUCTOR PRODUCTS, INC.",15279,MICRON SEMICONDUCTOR PRODUCTS INC,MICRON
FPC INC.,14533,FPC INC,FPC
LASER-PACIFIC MEDIA CORPORATION,14526,LASER-PACIFIC MEDIA CORP,LASERPACIFIC
"KODAK AMERICAS, LTD.",14518,KODAK AMERICAS LTD,KODAK
QUALEX INC.,14492,QUALEX INC,QUALEX
"KODAK REALTY, INC.",14468,KODAK REALTY INC,KODAK
FAR EAST DEVELOPMENT LTD.,14456,FAR EAST DEVELOPMENT LTD,FAR
NPEC INC.,14358,NPEC INC,NPEC
"KODAK (NEAR EAST), INC.",14346,KODAK NEAR EAST INC,KODAK
"KODAK PHILIPPINES, LTD.",14334,KODAK PHILIPPINES LTD,KODAK
KODAK PORTUGUESA LIMITED,14188,KODAK PORTUGUESA LTD,KODAK
"ARRIS SOLUTIONS, INC.",14011,ARRIS SOLUTIONS INC,ARRIS
"KODAK IMAGING NETWORK, INC.",13951,KODAK IMAGING NETWORK INC,KODAK
KODAK AVIATION LEASING LLC,13584,KODAK AVIATION LEASING LLC,KODAK
CREO MANUFACTURING AMERICA LLC,13170,CREO MANUFACTURING AMERICA LLC,CREO
"RUCKUS WIRELESS, INC.",13155,RUCKUS WIRELESS INC,RUCKUS
MICROCHIP TECHNOLOGY INCORPORATED,12428,MICROCHIP TECHNOLOGY INC,MICROCHIP
AVAGO TECHNOLOGIES GENERAL IP (SINGAPORE) PTE. LTD.,11489,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,AVAGO
CREDANT TECHNOLOGIES INC.,11354,CREDANT TECHNOLOGIES INC,CREDANT
BROADCOM CORPORATION,10751,BROADCOM CORP,BROADCOM
AGERE SYSTEMS LLC,9700,AGERE SYSTEMS LLC,AGERE
LSI CORPORATION,9700,LSI CORP,LSI
"WESTERN DIGITAL TECHNOLOGIES, INC.",9575,WESTERN DIGITAL TECHNOLOGIES INC,WESTERN
GLOBALFOUNDRIES INC.,9508,GLOBALFOUNDRIES INC,GLOBALFOUNDRIES
AVAYA INC.,9491,AVAYA INC,AVAYA
"CITIBANK, N.A.",9433,CITIBANK NA,CITIBANK
"CITRIX SYSTEMS, INC.",9382,CITRIX SYSTEMS INC,CITRIX
"ARRIS TECHNOLOGY, INC.",8960,ARRIS TECHNOLOGY INC,ARRIS
"SECUREWORKS, INC.",8695,SECUREWORKS INC,SECUREWORKS
"APPASSURE SOFTWARE, INC.",8694,APPASSURE SOFTWARE INC,APPASSURE
"BOOMI, INC.",8694,BOOMI INC,BOOMI
"COMPELLENT TECHNOLOGIES, INC.",8694,COMPELLENT TECHNOLOGIES INC,COMPELLENT
DELL INC.,8694,DELL INC,DELL
"GALE TECHNOLOGIES, INC.",8694,GALE TECHNOLOGIES INC,GALE
PEROT SYSTEMS CORPORATION,8694,PEROT SYSTEMS CORP,PEROT
SPRINT COMMUNICATIONS COMPANY L.P.,7643,SPRINT COMMUNICATIONS CO LP,SPRINT
ROVI TECHNOLOGIES CORPORATION,7523,ROVI TECHNOLOGIES CORP,ROVI
"VEVEO, INC.",7518,VEVEO INC,VEVEO
"ROVI GUIDES, INC.",7504,ROVI GUIDES INC,ROVI
ROVI SOLUTIONS CORPORATION,7504,ROVI SOLUTIONS CORP,ROVI
UNISYS CORPORATION,7043,UNISYS CORP,UNISYS
SEAGATE TECHNOLOGY LLC,6790,SEAGATE TECHNOLOGY LLC,SEAGATE
"VPNET TECHNOLOGIES, INC.",6518,VPNET TECHNOLOGIES INC,VPNET
SPRINT SPECTRUM L.P.,6343,SPRINT SPECTRUM LP,SPRINT
SPANSION LLC,6023,SPANSION LLC,SPANSION
MICROCHIP TECHNOLOGY INC.,5802,MICROCHIP TECHNOLOGY INC,MICROCHIP
TIBCO SOFTWARE INC.,5743,TIBCO SOFTWARE INC,TIBCO
FEDERAL-MOGUL CHASSIS LLC,5451,FEDERAL-MOGUL CHASSIS LLC,FEDERALMOGUL
FEDERAL-MOGUL POWERTRAIN LLC,5451,FEDERAL-MOGUL POWERTRAIN LLC,FEDERALMOGUL
"SCIENTIFIC GAMES INTERNATIONAL, INC.",5431,SCIENTIFIC GAMES INTERNATIONAL INC,SCIENTIFIC
OCTEL COMMUNICATIONS LLC,5180,OCTEL COMMUNICATIONS LLC,OCTEL
WEATHERFORD U.K. LIMITED,5106,WEATHERFORD U K LTD,WEATHERFORD
WEATHERFORD CANADA LTD.,5097,WEATHERFORD CANADA LTD,WEATHERFORD
WEATHERFORD NETHERLANDS B.V.,5097,WEATHERFORD NETHERLANDS BV,WEATHERFORD
WEATHERFORD NORGE AS,5097,WEATHERFORD NORGE AS,WEATHERFORD
WEATHERFORD SWITZERLAND TRADING AND DEVELOPMENT GMBH,5097,WEATHERFORD SWITZERLAND TRADING & DEVELOPMENT GMBH,WEATHERFORD
FREESCALE ACQUISITION CORPORATION,4901,FREESCALE ACQUISITION CORP,FREESCALE
FREESCALE ACQUISITION HOLDINGS CORP.,4901,FREESCALE ACQUISITION HOLDINGS CORP,FREESCALE
"FREESCALE HOLDINGS (BERMUDA) III, LTD.",4901,FREESCALE HOLDINGS BERMUDA III LTD,FREESCALE
CLEARWIRE IP HOLDINGS LLC,4859,CLEARWIRE IP HOLDINGS LLC,CLEARWIRE
CLEARWIRE LEGACY LLC,4855,CLEARWIRE LEGACY LLC,CLEARWIRE
"VISTEON GLOBAL TECHNOLOGIES, INC.",4782,VISTEON GLOBAL TECHNOLOGIES INC,VISTEON
CYPRESS SEMICONDUCTOR CORPORATION,4707,CYPRESS SEMICONDUCTOR CORP,CYPRESS
IBIQUITY DIGITAL CORPORATION,4685,IBIQUITY DIGITAL CORP,IBIQUITY
CLEARWIRE COMMUNICATIONS LLC,4682,CLEARWIRE COMMUNICATIONS LLC,CLEARWIRE
"T-MOBILE USA, INC.",4650,T-MOBILE USA INC,TMOBILE
"ASSURANCE WIRELESS USA, L.P.",4649,ASSURANCE WIRELESS USA LP,ASSURANCE
"BOOST WORLDWIDE, LLC",4649,BOOST WORLDWIDE LLC,BOOST
ISBV LLC,4649,ISBV LLC,ISBV
"LAYER3 TV, INC.",4649,LAYER3 TV INC,LAYER3
"PUSHSPRING, INC.",4649,PUSHSPRING INC,PUSHSPRING
SPRINT INTERNATIONAL INCORPORATED,4649,SPRINT INTERNATIONAL INC,SPRINT
T-MOBILE CENTRAL LLC,4649,T-MOBILE CENTRAL LLC,TMOBILE
"DTS, INC.",4637,DTS INC,DTS
INVENSAS CORPORATION,4593,INVENSAS CORP,INVENSAS
"PHORUS, INC.",4593,PHORUS INC,PHORUS
