entity_id,standard_name,normalized_name,original_name,frequency,component_size,avg_similarity,is_correct,notes
financial_91,BANKERS TRUST CO,BANKERS TRUST CO 280 PARK AVENUE NEW YORK NY,"BANKERS TRUST COMPANY, 280 PARK AVENUE, NEW YORK, NY",80,16,92.55488878334296,,
financial_180,CANADIAN IMPERIAL BANK OF COMMERCE,CANADIAN IMPERIAL BANK OF COMMERCE,"CANADIAN IMPERIAL BANK OF COMMERCE, AS ADMINISTRATIVE AGENT",416,23,94.88437653143768,,
financial_209,NATIONSBANK OF GEORGIA NA,NATIONSBANK OF GEORGIA NA,"NATIONSBANK OF GEORGIA, N.A.",23,3,92.0,,
financial_676,AMSOUTH BANK OF ALABAMA,AMSOUTH BANK,"AMSOUTH BANK, AS AGENT",8,4,92.0,,
financial_148,FIRST BANK NA,FIRST BANK NA,"FIRST BANK NATIONAL ASSOCIATION, AS TRUSTEE",3,2,100.0,,
financial_84,JEFFERIES FINANCE LLC,JEFFERIES FINANCE LLC,"JEFFERIES FINANCE, LLC",134,17,94.9845435619204,,
financial_417,GATX FINANCIAL CORP,GATX FINANCIAL CORP,GATX/FINANCIAL CORPORATION,3,2,100.0,,
financial_71,PNC BANK NA,PNC BANK NA AS SUCCESSOR IN INTEREST TO NATIONAL CITY BANK,"PNC BANK, NATIONAL ASSOCIATION (AS SUCCESSOR IN INTEREST TO NATIONAL CITY BANK)",4,25,92.66034953746816,,
financial_180,CANADIAN IMPERIAL BANK OF COMMERCE,CANADIAN IMPERIAL BANK OF COMMERCE NEW YORK AGENCY,"CANADIAN IMPERIAL BANK OF COMMERCE, NEW YORK AGENCY, AS THE ADMINISTRATIVE AGENT",4,23,94.88437653143768,,
financial_401,COAST BUSINESS CREDIT A DIVISION OF SOUTHERN PACIFIC BANK,COAST BUSINESS CREDIT A DIVISION OF SOUTHERN PACIFIC BANK,"COAST BUSINESS CREDIT,A DIVISION OF SOUTHERN PACIFIC BANK",1,9,92.0680310515173,,
financial_42,CITICORP USA INC,CITICORP NORTH AMERICA INC A CORP OF DE,"CITICORP NORTH AMERICA, INC., A CORP. OF DE",8,70,93.84586200611518,,
