component_id,entity_id,standard_name,normalized_name,original_name,frequency,avg_similarity,min_similarity,issues,decision,notes
3,non_financial_3,WYSE TECHNOLOGY LLC,WYSE TECHNOLOGY LLC,WYSE TECHNOLOGY L.L.C.,51331,89.73684210526315,89.47368421052632,['Similitud promedio baja: 89.7%'],,
3,non_financial_3,WYSE TECHNOLOGY LLC,WYSE TECHNOLOGY INC A DE CORP,"WYSE TECHNOLOGY INC., A DE CORP.",2,89.73684210526315,89.47368421052632,['Similitud promedio baja: 89.7%'],,
3,non_financial_3,WYSE TECHNOLOGY LLC,WYSE TECHNOLOGY INC,WYSE TECHNOLOGY INC.,4,89.73684210526315,89.47368421052632,['Similitud promedio baja: 89.7%'],,
29,non_financial_29,AGERE SYSTEMS LLC,AGERE SYSTEMS LLC,AGERE SYSTEMS LLC,9700,88.23529411764706,88.23529411764706,['Similitud promedio baja: 88.2%'],,
29,non_financial_29,AGERE SYSTEMS LLC,AGERE SYSTEMS INC,AGERE SYSTEMS INC.,1,88.23529411764706,88.23529411764706,['Similitud promedio baja: 88.2%'],,
55,non_financial_55,OCTEL COMMUNICATIONS LLC,OCTEL COMMUNICATIONS LLC,OCTEL COMMUNICATIONS LLC,5180,89.79591836734694,89.79591836734694,['Similitud promedio baja: 89.8%'],,
55,non_financial_55,OCTEL COMMUNICATIONS LLC,OCTEL COMMUNICATIONS CORP,OCTEL COMMUNICATIONS CORPORATION,1338,89.79591836734694,89.79591836734694,['Similitud promedio baja: 89.8%'],,
70,non_financial_70,PRECISION EQUIPMENT CO INC,PRECISION SHOOTING EQUIPMENT INC,"PRECISION SHOOTING EQUIPMENT, INC.",1,89.18367346938776,89.18367346938776,['Similitud promedio baja: 89.2%'],,
70,non_financial_70,PRECISION EQUIPMENT CO INC,PRECISION EQUIPMENT CO INC,"PRECISION EQUIPMENT COMPANY, INC.",1,89.18367346938776,89.18367346938776,['Similitud promedio baja: 89.2%'],,
90,non_financial_90,SEMICONDUCTOR COMPONENTS INDUSTRIES LLC,SEMICONDUCTOR COMPONENTS INDUSTRIES OF RHODE ISLAND INC,"SEMICONDUCTOR COMPONENTS INDUSTRIES OF RHODE ISLAND, INC.",245,89.86486486486486,89.86486486486486,['Similitud promedio baja: 89.9%'],,
90,non_financial_90,SEMICONDUCTOR COMPONENTS INDUSTRIES LLC,SEMICONDUCTOR COMPONENTS INDUSTRIES LLC,"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",3037,89.86486486486486,89.86486486486486,['Similitud promedio baja: 89.9%'],,
94,non_financial_94,CHARTER ADVANCED SERVICES AL LLC,CHARTER ADVANCED SERVICES AL LLC,"CHARTER ADVANCED SERVICES (AL), LLC",692,93.8865599998777,90.327868852459,['Grupo muy grande: 37 nombres'],,
94,non_financial_94,CHARTER ADVANCED SERVICES AL LLC,CHARTER ADVANCED SERVICES CA LLC,"CHARTER ADVANCED SERVICES (CA), LLC",692,93.8865599998777,90.327868852459,['Grupo muy grande: 37 nombres'],,
94,non_financial_94,CHARTER ADVANCED SERVICES AL LLC,CHARTER ADVANCED SERVICES CO LLC,"CHARTER ADVANCED SERVICES (CO), LLC",692,93.8865599998777,90.327868852459,['Grupo muy grande: 37 nombres'],,
94,non_financial_94,CHARTER ADVANCED SERVICES AL LLC,CHARTER ADVANCED SERVICES CT LLC,"CHARTER ADVANCED SERVICES (CT), LLC",692,93.8865599998777,90.327868852459,['Grupo muy grande: 37 nombres'],,
94,non_financial_94,CHARTER ADVANCED SERVICES AL LLC,CHARTER ADVANCED SERVICES GA LLC,"CHARTER ADVANCED SERVICES (GA), LLC",692,93.8865599998777,90.327868852459,['Grupo muy grande: 37 nombres'],,
94,non_financial_94,CHARTER ADVANCED SERVICES AL LLC,CHARTER ADVANCED SERVICES IL LLC,"CHARTER ADVANCED SERVICES (IL), LLC",692,93.8865599998777,90.327868852459,['Grupo muy grande: 37 nombres'],,
94,non_financial_94,CHARTER ADVANCED SERVICES AL LLC,CHARTER ADVANCED SERVICES IN LLC,"CHARTER ADVANCED SERVICES (IN), LLC",692,93.8865599998777,90.327868852459,['Grupo muy grande: 37 nombres'],,
94,non_financial_94,CHARTER ADVANCED SERVICES AL LLC,CHARTER ADVANCED SERVICES KY LLC,"CHARTER ADVANCED SERVICES (KY), LLC",692,93.8865599998777,90.327868852459,['Grupo muy grande: 37 nombres'],,
94,non_financial_94,CHARTER ADVANCED SERVICES AL LLC,CHARTER ADVANCED SERVICES LA LLC,"CHARTER ADVANCED SERVICES (LA), LLC",692,93.8865599998777,90.327868852459,['Grupo muy grande: 37 nombres'],,
