entity_id,standard_name,normalized_name,original_name,frequency,component_size,avg_similarity,is_correct,notes
non_financial_325,PHONE TRANSFERS AL LLC,PHONE TRANSFERS TN LLC,"PHONE TRANSFERS (TN), LLC",692,6,93.33333333333331,,
non_financial_861,ORBCOMM CHINA LLC,ORBCOMM INDIA LLC,ORBCOMM INDIA LLC,35,2,88.23529411764706,,
non_financial_1788,BLACKSMITH BRANDS INC,BLACKSMITH BRANDS INC,"BLACKSMITH BRANDS, INC.",11,2,100.0,,
non_financial_488,MATTEL INC,MATTEL INC A DE CORP,"MATTEL, INC. A DE CORP.",5,2,90.0,,
non_financial_994,CLEAN HARBORS RECYCLING SERVICES OF OHIO LLC,CLEAN HARBORS RECYCLING SERVICES OF CHICAGO LLC,"CLEAN HARBORS RECYCLING SERVICES OF CHICAGO, LLC",5,2,94.5054945054945,,
non_financial_2047,ARNOLD MAGNETIC TECHNOLOGIES CORP,ARNOLD MAGNETIC TECHNOLOGIES CORP,ARNOLD MAGNETIC TECHNOLOGIES CORPORATION,2,3,91.61764705882354,,
non_financial_1925,ACTION TARGET INC,ACTION TARGET INC F K A ACTION TARGET ACQUISITION CORP,"ACTION TARGET INC., F/K/A ACTION TARGET ACQUISITION CORP.",1,2,90.0,,
non_financial_2348,QUEBECOR WORLD ARCATA CORP,QUEBECOR WORLD CAPITAL CORP,QUEBECOR WORLD CAPITAL CORPORATION,1,2,90.56603773584906,,
non_financial_2019,DOEHLER-JARVIS INC DE CORP,DOEHLER-JARVIS INC DE CORP,"DOEHLER-JARVIS, INC. (DE CORPORATION)",4,4,95.0,,
non_financial_2069,DATAVISION INC A MI CORP,DATAVISION INC A MI CORP,"DATAVISION, INC., A MI CORP",4,2,90.0,,
non_financial_1381,VIGILANT NETWORKS LLC DE LTD LIABILIT CO,VIGILANT NETWORKS LLC,VIGILANT NETWORKS LLC,11,3,92.92181069958848,,
non_financial_205,DIRECT RADIOGRAPHY CORP,DIRECT RADIOGRAPHY CORP,DIRECT RADIOGRAPHY CORP.,1067,2,97.77777777777776,,
non_financial_820,DOLE FRESH VEGETABLES INC,DOLE FRESH VEGETABLES INC,"DOLE FRESH VEGETABLES, INC.",112,2,97.95918367346938,,
non_financial_504,TRIMAS CO LLC,TRIMAS CO LLC,TRIMAS COMPANY LLC,342,7,90.0,,
non_financial_2089,MAGNATECH INTERNATIONAL LP,MAGNATECH INTERNATIONAL LP,"MAGNATECH INTERNATIONAL, L.P.",4,2,90.56603773584906,,
non_financial_1412,EMERALD FOAM CONTROL LLC,EMERALD FOAM CONTROL LLC,"EMERALD FOAM CONTROL, LLC",23,2,90.0,,
non_financial_1493,AWI LICENSING LLC,AWI LICENSING CO,AWI LICENSING COMPANY,14,2,90.9090909090909,,
non_financial_960,ENVIRONMENTAL SYSTEMS PRODUCTS HOLDINGS INC,ENVIRONMENTAL SYSTEMS PRODUCTS INC,"ENVIRONMENTAL SYSTEMS PRODUCTS, INC.",16,2,95.0,,
non_financial_1890,GCC TECHNOLOGIES INC,GCC TECHNOLGIES INC,"GCC TECHNOLGIES, INC.",2,2,97.43589743589745,,
non_financial_1747,SP INDUSTRIES INC,SP INDUSTRIES INC,SP INDUSTRIES INC.,3,2,100.0,,
non_financial_1475,KEYSTONE DENTAL INC,KEYSTONE DENTAL INC,"KEYSTONE DENTAL, INC.",26,2,95.0,,
non_financial_342,JDA SOFTWARE GROUP INC,JDA SOFTWARE INC,"JDA SOFTWARE, INC.",15,2,95.0,,
non_financial_293,BANK OF AMERICA NA AS CO-COLLATERAL TRUSTEE & RESIGNING COLLATERAL TRUSTEE,BANK OF AMERICA NA AS EXISTING AGENT,"BANK OF AMERICA, N.A., AS EXISTING AGENT",50,16,90.6005522319374,,
non_financial_217,ASPECT SOFTWARE INC,ASPECT SOFTWARE PARENT INC,"ASPECT SOFTWARE PARENT, INC.",156,5,91.96428571428572,,
non_financial_90,SEMICONDUCTOR COMPONENTS INDUSTRIES LLC,SEMICONDUCTOR COMPONENTS INDUSTRIES LLC,"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",3037,2,89.86486486486486,,
non_financial_2179,TRIBUNE BROADCASTING CO LLC,TRIBUNE BROADCASTING INDIANAPOLIS LLC,"TRIBUNE BROADCASTING INDIANAPOLIS, LLC",1,4,89.41176470588236,,
non_financial_2227,INTELLECTUAL PROPERTIES & TECHNOLOGY INC,INTELLECTUAL PROPERTIES & TECHNOLOGY INC,"INTELLECTUAL PROPERTIES AND TECHNOLOGY, INC",1,2,100.0,,
non_financial_911,TRIUMPH ACTUATION SYSTEMS - CONNECTICUT LLC,TRIUMPH INSULATION SYSTEMS LLC,"TRIUMPH INSULATION SYSTEMS, LLC",34,4,92.71186440677968,,
non_financial_955,COMMUNICATIONS & POWER INDUSTRIES INC,COMMUNICATIONS & POWER INDUSTRIES INC,"COMMUNICATIONS & POWER INDUSTRIES, INC.",82,4,91.83320463320464,,
non_financial_1637,TOWER AUTOMOTIVE TECHNOLOGY PRODUCT INC,TOWER AUTOMOTIVE TECHNOLOGY PRODUCT INC,"TOWER AUTOMOTIVE TECHNOLOGY PRODUCT, INC.",2,2,98.73417721518987,,
non_financial_995,CLEAN HARBORS SAN LEON INC,CLEAN HARBORS SAN JOSE LLC,"CLEAN HARBORS SAN JOSE, LLC",5,3,90.3846153846154,,
non_financial_309,BL TECHNOLOGIES INC A DELAWARE CORP,BL TECHNOLOGIES INC,"BL TECHNOLOGIES, INC.",230,5,96.19718309859157,,
non_financial_225,UNION CARBIDE GRAFITO INC,UNION CARBIDE GRAFITO INC,UNION CARBIDE GRAFITO INC.,51,2,96.15384615384616,,
non_financial_2222,ICICLE ACQUISITION HOLDING BV,ICICLE ACQUISITION HOLDING LLC,"ICICLE ACQUISITION HOLDING, LLC",2,2,91.52542372881356,,
non_financial_1099,TOKHEIM INVESTMENT CORP,TOKHEIM INVESTMENT CORP,TOKHEIM INVESTMENT CORP.,44,2,90.0,,
non_financial_1922,US CAN CO,US CAN CO A DE CORP,"UNITED STATES CAN COMPANY, A DE. CORP.",8,3,93.33333333333331,,
non_financial_897,MASSEY FERGUSON UK LTD A UK CORP,MASSEY FERGUSON GROUP LTD A UK CORP,MASSEY FERGUSON GROUP LIMITED A UNITED KINGDOM CORP.,98,6,96.36363636363636,,
non_financial_303,BETZDEARBORN INC A PENNSYLVANIA CORP,BETZDEARBORN INC A PENNSYLVANIA CORP,"BETZDEARBORN INC., A PENNSYLVANIA CORPORATION",585,20,94.2923310068001,,
non_financial_310,ZENITH ELECTRONICS CORPORATIONA CORP OF DELAWARE,ZENITH ELECTRONICS CORPORATON A DE CORP,"ZENITH ELECTRONICS CORPORATON, A DE CORP.",1,12,92.88708981732503,,
non_financial_1623,LUIDIA INC,LUIDIA INC,"LUIDIA, INC",18,2,100.0,,
non_financial_335,GOLDMAN SACHS BANK USA,GOLDMAN SACHS BANK USA,GOLDMAN SACHS BANK USA,672,2,100.0,,
non_financial_1021,OIL STATES INDUSTRIES INC,OIL STATES SKAGIT SMATCO INC,"OIL STATES SKAGIT SMATCO, INC.",20,10,90.28571428571428,,
non_financial_1687,CHASE MANHATTAN BANK,CHASE MANHATTAN BANK NA,"CHASE MANHATTAN BANK (NATIONAL ASSOCIATION,), THE",1,3,96.66666666666669,,
non_financial_1833,STRATUM RESERVOIR US LLC,STRATUM RESERVOIR INTERMEDIATE LLC,"STRATUM RESERVOIR INTERMEDIATE, LLC",5,4,91.83333333333331,,
non_financial_895,INTERMEDICS CARDIASSIST INC,INTERMEDICS INTRAOCULAR INC A CORP OF TEXAS,"INTERMEDICS INTRAOCULAR, INC., A CORP. OF TEXAS",27,10,92.99480571371492,,
non_financial_731,SCI PLANT NO 5 LLC,SCI PLANT NO 22 LLC,"SCI PLANT NO. 22, L.L.C.",98,2,91.89189189189187,,
non_financial_976,TAPCO HOLDINGS INC,TAPCO HOLDINGS INC,"TAPCO HOLDINGS, INC.,",28,2,100.0,,
non_financial_309,BL TECHNOLOGIES INC A DELAWARE CORP,BL TECXHNOLOGIES INC A DELAWARE CORP,"BL TECXHNOLOGIES, INC., A DELAWARE CORPORATION",36,5,96.19718309859157,,
non_financial_1017,NEUROMEDICS INC,NEUROMEDICS INC,"NEUROMEDICS, INC.",72,4,91.31205673758863,,
non_financial_2371,PROFIT RECOVERY GROUP NETHERLANDS INC,PROFIT RECOVERY GROUP NETHERLANDS INC,"THE PROFIT RECOVERY GROUP NETHERLANDS, INC.",1,2,89.1891891891892,,
