entity_id,original_name,normalized_name,standard_name,frequency,component_size,avg_similarity,min_similarity,needs_review
non_financial_release_0,"MICRON TECHNOLOGY, INC.",MICRON TECHNOLOGY INC,MICRON TECHNOLOGY,54242,2,100.0,100.0,False
non_financial_release_0,"MICRON TECHNOLOGY, INC",MICRON TECHNOLOGY INC,MICRON TECHNOLOGY,4,2,100.0,100.0,False
non_financial_release_1,"DELL PRODUCTS, L.P.",DELL PRODUCTS LP,DELL PRODUCTS,172,2,100.0,100.0,False
non_financial_release_1,DELL PRODUCTS L.P.,DELL PRODUCTS LP,DELL PRODUCTS,42849,2,100.0,100.0,False
non_financial_release_2,"DELL MARKETING CORPORATION (SUCCESSOR-IN-INTEREST TO ASAP SOFTWARE EXPRESS, INC.)",DELL MARKETING CORP SUCCESSOR-IN-INTEREST TO ASAP SOFTWARE EXPRESS INC,DELL MARKETING,16349,5,92.5,90.0,False
non_financial_release_2,"DELL MARKETING CORPORATION (SUCCESSOR-IN-INTEREST TO FORCE10 NETWORKS, INC. AND WYSE TECHNOLOGY L.L.C.)",DELL MARKETING CORP SUCCESSOR-IN-INTEREST TO FORCE10 NETWORKS INC & WYSE TECHNOLOGY LLC,DELL MARKETING,16349,5,92.5,90.0,False
non_financial_release_2,"DELL MARKETING L.P. (ON BEHALF OF ITSELF AND AS SUCCESSOR-IN-INTEREST TO CREDANT TECHNOLOGIES, INC.)",DELL MARKETING LP ON BEHALF OF ITSELF & AS SUCCESSOR-IN-INTEREST TO CREDANT TECHNOLOGIES INC,DELL MARKETING,16349,5,92.5,90.0,False
non_financial_release_2,DELL MARKETING L.P.,DELL MARKETING LP,DELL MARKETING,17105,5,92.5,90.0,False
non_financial_release_2,DELL MARKETING CORPORATION (SUCCESSOR-IN-INTEREST TO WYSE TECHNOLOGY L.L.C.),DELL MARKETING CORP SUCCESSOR-IN-INTEREST TO WYSE TECHNOLOGY LLC,DELL MARKETING,1940,5,92.5,90.0,False
non_financial_release_3,DELL INTERNATIONAL L.L.C.,DELL INTERNATIONAL LLC,DELL INTERNATIONAL LLC,16855,3,100.0,100.0,False
