idx1,idx2,similarity,name1,name2
0,14,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,41,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,44,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,70,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON
0,79,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,133,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,137,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
0,154,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,178,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,233,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON
0,240,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA FORMERLY THE BANK OF NEW YORK TRUST CO NA
0,409,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA AS SUCCESSOR-IN-INTEREST TO J P MORGAN TRUST CO
0,412,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA F K A THE BANK OF NEW YORK TRUST CO NA
0,413,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON
0,423,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA FORMERLY BANK OF NEW YORK TRUST CO NA
0,447,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,507,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,528,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA AS SUCCESSOR TO THE BANK OF NEW YORK TRUST CO NA
0,540,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA AS SECOND LIENAGENT
0,553,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA AS SUCCESSOR TO THE BANK OF NEW YORK
0,712,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON
0,806,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,894,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON
0,1185,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK
0,1788,90.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA & COLLATERAL AGENT
0,2060,100.0,BANK OF NEW YORK MELLON TRUST CO NA,BANK OF NEW YORK MELLON TRUST CO NA
