original_name,frequency,normalized_name
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS NOTES COLLATERAL AGENT",161606,BANK OF NEW YORK MELLON TRUST CO NA
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH",157710,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH
"WILMINGTON TRUST, NATIONAL ASSOCIATION",124823,WILMINGTON TRUST NA
"JP MORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT",107454,JP MORGAN CHASE BANK NA
"JPMORGAN CHASE BANK, N.A.",104870,JP MORGAN CHASE BANK NA
"BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT",100437,BANK OF AMERICA NA
"BANK OF AMERICA, N.A., AS COLLATERAL AGENT",92525,BANK OF AMERICA NA
"BANK OF AMERICA, N.A.",80208,BANK OF AMERICA NA
DEUTSCHE BANK TRUST COMPANY AMERICAS,70881,DEUTSCHE BANK TRUST CO AMERICAS
BARCLAYS BANK PLC,64024,BARCLAYS BANK PLC
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT",62118,JP MORGAN CHASE BANK NA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",58685,WELLS FARGO BANK NA
"MORGAN STANLEY SENIOR FUNDING, INC.",54492,MORGAN STANLEY SENIOR FUNDING INC
"JPMORGAN CHASE BANK, N.A., AS COLLATERAL AGENT",46503,JP MORGAN CHASE BANK NA
"BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL AGENT",39778,BANK OF NEW YORK MELLON TRUST CO NA
"MORGAN STANLEY SENIOR FUNDING, INC., AS COLLATERAL AGENT",33078,MORGAN STANLEY SENIOR FUNDING INC
"DEUTSCHE BANK AG NEW YORK BRANCH, AS COLLATERAL AGENT",31441,DEUTSCHE BANK AG NEW YORK BRANCH
"WELLS FARGO BANK, NATIONAL ASSOCIATION",31284,WELLS FARGO BANK NA
STARBOARD VALUE INTERMEDIATE FUND LP,31127,STARBOARD VALUE INTERMEDIATE FUND LP
"CITIBANK, N.A.",31000,CITIBANK NA
"CITIBANK, N.A., AS COLLATERAL AGENT",28768,CITIBANK NA
"CITICORP NORTH AMERICA, INC.",27268,CITICORP NORTH AMERICA INC
WILMINGTON TRUST COMPANY,20664,WILMINGTON TRUST CO
"U.S. BANK NATIONAL ASSOCIATION, AS COLLATERAL AGENT",20041,US BANK NA
"GOLDMAN SACHS BANK USA, AS COLLATERAL AGENT",17897,GOLDMAN SACHS BANK USA
"PNC BANK, NATIONAL ASSOCIATION",14464,PNC BANK NA
UNITED STATES DEPARTMENT OF THE TREASURY,14433,US DEPARTMENT OF THE TREASURY
"JPMORGAN CHASE BANK, N.A, AS ADMINISTRATIVE AGENT",13869,JP MORGAN CHASE BANK NA
ROYAL BANK OF CANADA,13777,ROYAL BANK OF CANADA
"GOLDMAN SACHS BANK USA., AS COLLATERAL AGENT",13210,GOLDMAN SACHS BANK USA
DEUTSCHE BANK AG NEW YORK BRANCH,12457,DEUTSCHE BANK AG NEW YORK BRANCH
"CITICORP USA, INC.",11985,CITICORP USA INC
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",11311,WELLS FARGO BANK NA
SILICON VALLEY BANK,10082,SILICON VALLEY BANK
"CITICORP NORTH AMERICA, INC., AS SENIOR DIP AGENT",9794,CITICORP NORTH AMERICA INC AS SENIOR DIP AGENT
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS JUNIOR DIP AGENT",9794,WILMINGTON TRUST NA AS JUNIOR DIP AGENT
MANUFACTURERS AND TRADERS TRUST COMPANY (AS ADMINISTRATIVE AGENT),9182,MANUFACTURERS & TRADERS TRUST CO
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",8956,WILMINGTON TRUST NA
"HPS INVESTMENT PARTNERS, LLC",8946,HPS INVESTMENT PARTNERS LLC
"BANK OF AMERICA, N.A., AS COLLATERAL TRUSTEE",8880,BANK OF AMERICA NA
"BANK OF AMERICA, N A",8704,BANK OF AMERICA NA
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS TRUSTEE",8624,BANK OF NEW YORK MELLON TRUST CO NA
CORTLAND CAPITAL MARKET SERVICES LLC,8238,CORTLAND CAPITAL MARKET SERVICES LLC
UAW RETIREE MEDICAL BENEFITS TRUST,7820,UAW RETIREE MEDICAL BENEFITS TRUST
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A.",7616,BANK OF NEW YORK MELLON TRUST CO NA
JEFFERIES FINANCE LLC,7131,JEFFERIES FINANCE LLC
"MUFG UNION BANK, N.A.",6780,MUFG UNION BANK NA
"CITICORP USA, INC. AS AGENT FOR BANK PRIORITY SECURED PARTIES",6594,CITICORP USA INC FOR BANK PRIORITY SECURED PARTIES
"CITICORP USA, INC. AS AGENT FOR HEDGE PRIORITY SECURED PARTIES",6594,CITICORP USA INC FOR HEDGE PRIORITY SECURED PARTIES
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT AND SECOND PRIORITY REPRESENTATIVE",6367,WELLS FARGO BANK NA & SECOND PRIORITY REPRESENTATIVE
"JPMORGAN CHASE BANK, N.A., AS AGENT",5974,JP MORGAN CHASE BANK NA
THE BANK OF NOVA SCOTIA,5492,BANK OF NOVA SCOTIA
"JPMORGAN CHASE BANK, N.A. (A NATIONAL ASSOCIATION)",5348,JP MORGAN CHASE BANK NA A NA
"CITIBANK, N.A., AS AGENT",5333,CITIBANK NA
"BARCLAYS BANK PLC, AS COLLATERAL AGENT",4933,BARCLAYS BANK PLC
"GOLDMAN SACHS CREDIT PARTNERS, L.P., AS COLLATERAL AGENT",4912,GOLDMAN SACHS CREDIT PARTNERS LP
CREDIT SUISSE FIRST BOSTON,4879,CREDIT SUISSE FIRST BOSTON
MORGAN STANLEY & CO. INCORPORATED,4530,MORGAN STANLEY & CO INC
CREDIT SUISSE AG,4407,CREDIT SUISSE AG
"WELLS FARGO CAPITAL FINANCE, LLC",4290,WELLS FARGO CAPITAL FINANCE LLC
WILMINGTON TRUST COMPANY AS CORPORATE TRUSTEE,3807,WILMINGTON TRUST CO AS CORPORATE TRUSTEE
