original_name,frequency,normalized_name
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A.",389277,BANK OF NEW YORK MELLON TRUST CO NA
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS COLLATERAL AGENT",155495,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS NOTES COLLATERAL AGENT",141093,BANK OF NEW YORK MELLON TRUST CO NA
"BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT",123191,BANK OF AMERICA NA
"BANK OF AMERICA, N.A., AS COLLATERAL AGENT",122643,BANK OF AMERICA NA
"BANK OF AMERICA, N.A.",116812,BANK OF AMERICA NA
"JPMORGAN CHASE BANK, N.A.",114857,JP MORGAN CHASE BANK NA
"JPMORGAN CHASE BANK, N.A., AS COLLATERAL AGENT",103311,JP MORGAN CHASE BANK NA
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE AGENT",83248,JP MORGAN CHASE BANK NA
"BARCLAYS BANK PLC, AS ADMINISTRATIVE AGENT",70936,BARCLAYS BANK PLC
"BANK OF AMERICA N.A., AS AGENT",68088,BANK OF AMERICA NA
DEUTSCHE BANK TRUST COMPANY AMERICAS,67403,DEUTSCHE BANK TRUST CO AMERICAS
"JPMORGAN CHASE BANK, N.A., AS ADMINISTRATIVE",65850,JP MORGAN CHASE BANK NA AS ADMINISTRATIVE
"WILMINGTON TRUST, NATIONAL ASSOCIATION",61501,WILMINGTON TRUST NA
"CITIBANK, N.A., AS COLLATERAL AGENT",53904,CITIBANK NA
"BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS FIRST LIEN COLLATERAL AGENT",43470,BANK OF NEW YORK MELLON TRUST CO NA
"CITICORP USA, INC.",40821,CITICORP USA INC
"MORGAN STANLEY SENIOR FUNDING, INC., AS COLLATERAL AGENT",35492,MORGAN STANLEY SENIOR FUNDING INC
"MORGAN STANLEY SENIOR FUNDING, INC.",34829,MORGAN STANLEY SENIOR FUNDING INC
"WELLS FARGO BANK, NATIONAL ASSOCIATION",34288,WELLS FARGO BANK NA
"STARBOARD VALUE INTERMEDIATE FUND LP, AS COLLATERAL AGENT",32958,STARBOARD VALUE INTERMEDIATE FUND LP
"U.S. BANK NATIONAL ASSOCIATION, AS COLLATERAL AGENT",30322,US BANK NA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",29660,WELLS FARGO BANK NA
"DEUTSCHE BANK AG NEW YORK BRANCH, AS COLLATERAL AGENT",29550,DEUTSCHE BANK AG NEW YORK BRANCH
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",29461,WELLS FARGO BANK NA
"CITIBANK, N.A.",27565,CITIBANK NA
"CITICORP NORTH AMERICA, INC.",26613,CITICORP NORTH AMERICA INC
MORGAN STANLEY & CO. INCORPORATED,22503,MORGAN STANLEY & CO INC
WILMINGTON TRUST,21537,WILMINGTON TRUST
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS TRUSTEE",20336,BANK OF NEW YORK MELLON TRUST CO NA
"CITIBANK, N.A. AS COLLATERAL AGENT",19666,CITIBANK NA
"GOLDMAN SACHS BANK USA, AS COLLATERAL AGENT",19597,GOLDMAN SACHS BANK USA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",18909,WELLS FARGO BANK NA
WILMINGTON TRUST COMPANY,18552,WILMINGTON TRUST CO
"MORGAN STANLEY SENIOR FUNDING, INC., AS AGENT",18394,MORGAN STANLEY SENIOR FUNDING INC
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL AGENT",18320,BANK OF NEW YORK MELLON TRUST CO NA
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS TRUSTEE AND NOTES COLLATERAL AGENT",17705,BANK OF NEW YORK MELLON TRUST CO NA & NOTES COLLATERAL AGENT
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",16416,WILMINGTON TRUST NA
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS COLLATERAL AGENT",16135,DEUTSCHE BANK TRUST CO AMERICAS
UNITED STATES DEPARTMENT OF THE TREASURY,14625,US DEPARTMENT OF THE TREASURY
"CITIBANK, N.A., AS COLLATERAL TRUSTEE",14271,CITIBANK NA
BARCLAYS BANK PLC,13762,BARCLAYS BANK PLC
"ROYAL BANK OF CANADA, AS COLLATERAL AGENT",13744,ROYAL BANK OF CANADA
"CITIBANK, N.A., AS ADMINISTRATIVE AGENT",13489,CITIBANK NA
