idx1,idx2,similarity,name1,name2
0,8632,100.0,MICRON TECHNOLOGY INC,MICRON TECHNOLOGY INC
1,1336,100.0,DELL PRODUCTS LP,DELL PRODUCTS LP
15,22,90.0,DELL MARKETING LP,DELL MARKETING LP ON BEHALF OF ITSELF & AS SUCCESSOR-IN-INTEREST TO CREDANT TECHNOLOGIES INC
16,55,100.0,DELL INTERNATIONAL LLC,DELL INTERNATIONAL LLC
16,4358,100.0,DELL INTERNATIONAL LLC,DELL INTERNATIONAL LLC
21,159,95.0,DELL MARKETING CORP SUCCESSOR-IN-INTEREST TO FORCE10 NETWORKS INC & WYSE TECHNOLOGY LLC,DELL MARKETING CORP SUCCESSOR-IN-INTEREST TO WYSE TECHNOLOGY LLC
55,4358,100.0,DELL INTERNATIONAL LLC,DELL INTERNATIONAL LLC
2,34,94.28571428571428,GM GLOBAL TECHNOLOGY OPERATIONS INC,GM GLOBAL TECHNOLOGY OPERATIONS LLC
7,8903,89.47368421052632,WYSE TECHNOLOGY LLC,WYSE TECHNOLOGY INC
7,10894,89.47368421052632,WYSE TECHNOLOGY LLC,WYSE TECHNOLOGY INC
7,10895,89.47368421052632,WYSE TECHNOLOGY LLC,WYSE TECHNOLOGY INC
8903,10894,100.0,WYSE TECHNOLOGY INC,WYSE TECHNOLOGY INC
8903,10895,100.0,WYSE TECHNOLOGY INC,WYSE TECHNOLOGY INC
10894,10895,100.0,WYSE TECHNOLOGY INC,WYSE TECHNOLOGY INC
9,372,90.0,MICROSEMI CORP,MICROSEMI CORP -ANALOG MIXED SIGNAL GROUP A DELAWARE CORP
9,373,90.0,MICROSEMI CORP,MICROSEMI CORP -MEMORY & STORAGE SOLUTIONS F K A WHITE ELECTRONIC DESIGNS CORP AN INDIANA CORP
9,555,90.0,MICROSEMI CORP,MICROSEMI CORP - POWER PRODUCTS GROUP
9,556,90.0,MICROSEMI CORP,MICROSEMI CORP - RF INTEGRATED SOLUTIONS
9,558,95.0,MICROSEMI CORP,MICROSEMI SOC CORP
9,5913,90.0,MICROSEMI CORP,MICROSEMI CORP - MEMORY & STORAGE SOLUTIONS
9,12232,90.0,MICROSEMI CORP,MICROSEMI CORP - HIGH PERFORMANCE TIMING
12,561,95.38461538461537,MICROSEMI STORAGE SOLUTIONS INC,MICROSEMI STORAGE SOLUTIONS US INC
12,2566,90.0,MICROSEMI STORAGE SOLUTIONS INC,MICROSEMI STORAGE SOLUTIONS INC FORMERLY KNOW AS PMC-SIERRA INC
12,5913,88.44827586206895,MICROSEMI STORAGE SOLUTIONS INC,MICROSEMI CORP - MEMORY & STORAGE SOLUTIONS
371,554,90.0,MICROSEMI COMMUNICATIONS INC F K A VITESSE SEMICONDUCTOR CORP A DELAWARE CORP,MICROSEMI COMMUNICATIONS INC
373,5913,88.94117647058825,MICROSEMI CORP -MEMORY & STORAGE SOLUTIONS F K A WHITE ELECTRONIC DESIGNS CORP AN INDIANA CORP,MICROSEMI CORP - MEMORY & STORAGE SOLUTIONS
374,553,90.0,MICROSEMI FREQUENCY & TIME CORP A DELAWARE CORP,MICROSEMI FREQUENCY & TIME CORP
375,557,90.0,MICROSEMI SEMICONDUCTOR US INC A DELAWARE CORP,MICROSEMI SEMICONDUCTOR US INC
376,558,90.0,MICROSEMI SOC CORP A CALIFORNIA CORP,MICROSEMI SOC CORP
556,5914,93.67088607594937,MICROSEMI CORP - RF INTEGRATED SOLUTIONS,MICROSEMI LLC - RF INTEGRATED SOLUTIONS
561,2565,90.0,MICROSEMI STORAGE SOLUTIONS US INC,MICROSEMI STORAGE SOLUTIONS US INC FORMERLY KNOW AS PMC-SIERRA US INC
2565,2566,95.45454545454545,MICROSEMI STORAGE SOLUTIONS US INC FORMERLY KNOW AS PMC-SIERRA US INC,MICROSEMI STORAGE SOLUTIONS INC FORMERLY KNOW AS PMC-SIERRA INC
10,7975,98.11320754716981,FREESCALE SEMICONDUCTOR INC,FREESCALE SEMICONDUTOR INC
2919,2920,95.0,FREESCALE ACQUISITION CORP,FREESCALE ACQUISITION HOLDINGS CORP
4399,6970,90.0,SILICON GAMING INC,SILICON GAMING INC A CALIFORNIA CORP
4399,12856,90.0,SILICON GAMING INC,SILICON GAMING INC A CALIFORNIA CORP
5249,8761,90.0,SILICON POWER CORP,SILICON POWER CORP AS SUCCESSOR TO ELECTRONICS TECHNOLOGY ALLIANCE
6654,12857,95.0,SILICON GAMING-CALIFORNIA INC,SILICON GAMING-CALIFORNIA INC A NEVADA CORP
6655,12858,90.0,SILICON GAMING-COLORADO INC,SILICON GAMING-COLORADO INC A COLORADO CORP
6656,12859,90.0,SILICON GAMING-ILLINOIS INC,SILICON GAMING-ILLINOIS INC A NEVADA CORP
6657,12860,90.0,SILICON GAMING-IOWA INC,SILICON GAMING-IOWA INC A NEVADA CORP
6658,12861,90.0,SILICON GAMING-KANSAS INC,SILICON GAMING-KANSAS INC A NEVADA CORP
6659,6971,88.88888888888889,SILICON GAMING-LOUISIANA INC,SILICON GAMING-INDIANA INC
6659,12862,90.0,SILICON GAMING-LOUISIANA INC,SILICON GAMING-LOUISIANA INC A NEVADA CORP
6660,12863,90.0,SILICON GAMING-MICHIGAN INC,SILICON GAMING-MICHIGAN INC A NEVADA CORP
6661,12864,90.0,SILICON GAMING-MINNESOTA INC,SILICON GAMING-MINNESOTA INC A MINNESOTA CORP
6662,12865,90.0,SILICON GAMING-MISSISSIPPI INC,SILICON GAMING-MISSISSIPPI INC A MISSISSIPPI CORP
6663,12866,90.0,SILICON GAMING-MISSOURI INC,SILICON GAMING-MISSOURI INC A MISSOURI CORP
6664,12867,90.0,SILICON GAMING-NEVADA INC,SILICON GAMING-NEVADA INC A NEVADA CORP
6665,12868,90.0,SILICON GAMING-NEW JERSEY INC,SILICON GAMING-NEW JERSEY INC A NEW JERSEY CORP
6666,12869,95.0,SILICON GAMING-NEW MEXICO INC,SILICON GAMING-NEW MEXICO INC A NEVADA CORP
6970,12856,100.0,SILICON GAMING INC A CALIFORNIA CORP,SILICON GAMING INC A CALIFORNIA CORP
6971,10652,90.0,SILICON GAMING-INDIANA INC,SILICON GAMING-INDIANA INC A NEVADA CORP
8760,9512,100.0,SILICON ENERGY CORP,SILICON ENERGY CORP
10652,12857,89.1566265060241,SILICON GAMING-INDIANA INC A NEVADA CORP,SILICON GAMING-CALIFORNIA INC A NEVADA CORP
10652,12859,88.88888888888889,SILICON GAMING-INDIANA INC A NEVADA CORP,SILICON GAMING-ILLINOIS INC A NEVADA CORP
10652,12860,90.9090909090909,SILICON GAMING-INDIANA INC A NEVADA CORP,SILICON GAMING-IOWA INC A NEVADA CORP
10652,12861,91.13924050632912,SILICON GAMING-INDIANA INC A NEVADA CORP,SILICON GAMING-KANSAS INC A NEVADA CORP
10652,12862,92.6829268292683,SILICON GAMING-INDIANA INC A NEVADA CORP,SILICON GAMING-LOUISIANA INC A NEVADA CORP
10652,12863,91.35802469135803,SILICON GAMING-INDIANA INC A NEVADA CORP,SILICON GAMING-MICHIGAN INC A NEVADA CORP
10652,12867,91.13924050632912,SILICON GAMING-INDIANA INC A NEVADA CORP,SILICON GAMING-NEVADA INC A NEVADA CORP
12857,12859,88.09523809523809,SILICON GAMING-CALIFORNIA INC A NEVADA CORP,SILICON GAMING-ILLINOIS INC A NEVADA CORP
12857,12860,90.0,SILICON GAMING-CALIFORNIA INC A NEVADA CORP,SILICON GAMING-IOWA INC A NEVADA CORP
12859,12860,89.74358974358975,SILICON GAMING-ILLINOIS INC A NEVADA CORP,SILICON GAMING-IOWA INC A NEVADA CORP
12859,12862,89.1566265060241,SILICON GAMING-ILLINOIS INC A NEVADA CORP,SILICON GAMING-LOUISIANA INC A NEVADA CORP
12860,12861,89.47368421052632,SILICON GAMING-IOWA INC A NEVADA CORP,SILICON GAMING-KANSAS INC A NEVADA CORP
12860,12862,88.60759493670886,SILICON GAMING-IOWA INC A NEVADA CORP,SILICON GAMING-LOUISIANA INC A NEVADA CORP
12860,12863,89.74358974358975,SILICON GAMING-IOWA INC A NEVADA CORP,SILICON GAMING-MICHIGAN INC A NEVADA CORP
12860,12867,89.47368421052632,SILICON GAMING-IOWA INC A NEVADA CORP,SILICON GAMING-NEVADA INC A NEVADA CORP
12861,12862,88.88888888888889,SILICON GAMING-KANSAS INC A NEVADA CORP,SILICON GAMING-LOUISIANA INC A NEVADA CORP
12861,12867,89.74358974358975,SILICON GAMING-KANSAS INC A NEVADA CORP,SILICON GAMING-NEVADA INC A NEVADA CORP
12862,12863,89.1566265060241,SILICON GAMING-LOUISIANA INC A NEVADA CORP,SILICON GAMING-MICHIGAN INC A NEVADA CORP
17,4353,100.0,CREDANT TECHNOLOGIES INC,CREDANT TECHNOLOGIES INC
18,2446,95.0,ASAP SOFTWARE EXPRESS INC,ASAP SOFTWARE EXPRESS
18,2447,97.95918367346938,ASAP SOFTWARE EXPRESS INC,ASAP SOFTWARE EXRESS INC
2446,2447,88.88888888888889,ASAP SOFTWARE EXPRESS,ASAP SOFTWARE EXRESS INC
19,25,90.0,EMC IP HOLDING CO LLC ON BEHALF OF ITSELF & AS SUCCESSOR-IN-INTEREST TO MOZY INC,EMC IP HOLDING CO LLC
25,11621,97.67441860465115,EMC IP HOLDING CO LLC,EMC IP HOLDINGS CO LLC
27,1886,90.0,EMC CORP,EMC CORP AS GRANTOR
24,122,100.0,MICROCHIP TECHNOLOGY INC,MICROCHIP TECHNOLOGY INC
31,35,95.0,GLOBALFOUNDRIES US INC,GLOBALFOUNDRIES INC
32,3904,90.0,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,AVAGO TECHNOLOGIES FIBER IP SINGAPORE PTE LTD SUCCESSOR IN INTEREST TO AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD
32,5585,90.0,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,AVAGO TECHNOLOGIES ECBU IP SINGAPORE PTE LTD SUCCESSOR IN INTEREST TO AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD
32,7069,90.0,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,AVAGO TECHNOLOGIES ECBU IP SINGAPORE PTE LTD SUCCESSOR IN INTEREST TO AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD
32,7070,90.0,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,AVAGO TECHNOLOGIES WIRELESS IP SINGAPORE PTE LTD SUCCESSOR IN INTEREST TO AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD
32,8972,90.10989010989012,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,AVAGO TECHNOLOGIES ECBU IP SINGAPORE PTE LTD
32,8973,90.72164948453609,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,AVAGO TECHNOLOGIES ENTERPRISE IP SINGAPORE PTE LTD
32,8974,91.30434782608697,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,AVAGO TECHNOLOGIES FIBER IP SINGAPORE PTE LTD
32,8976,88.42105263157895,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,AVAGO TECHNOLOGIES WIRELESS IP SINGAPORE PTE LTD
32,9799,90.0,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,AVAGO TECHNOLOGIES WIRELESS IP SINGAPORE PTE LTD SUCCESSOR IN INTEREST TO AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD
32,11127,88.08510638297872,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,AVAGO TECHNOLOGIES ECBU IP SINGAPORE PTE LTD SUCCESSOR IN INTEREST TO AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTD LTD
32,11128,90.0,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,AVAGO TECHNOLOGIES ENTERPRISE IP SINGAPORE PTE LTD SUCCESSOR IN INTEREST TO AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD
3904,5585,97.02127659574468,AVAGO TECHNOLOGIES FIBER IP SINGAPORE PTE LTD SUCCESSOR IN INTEREST TO AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,AVAGO TECHNOLOGIES ECBU IP SINGAPORE PTE LTD SUCCESSOR IN INTEREST TO AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD
