original_name,frequency,normalized_name
"MICRON TECHNOLOGY, INC.",54242,MICRON TECHNOLOGY INC
DELL PRODUCTS L.P.,42849,DELL PRODUCTS LP
"GM GLOBAL TECHNOLOGY OPERATIONS, INC.",34111,GM GLOBAL TECHNOLOGY OPERATIONS INC
DELL USA L.P.,33445,DELL USA LP
EASTMAN KODAK COMPANY,26131,EASTMAN KODAK CO
SCALEIO LLC,24584,SCALEIO LLC
ATMEL CORPORATION,21226,ATMEL CORP
WYSE TECHNOLOGY L.L.C.,20219,WYSE TECHNOLOGY LLC
"PAKON, INC.",19510,PAKON INC
MICROSEMI CORPORATION,19328,MICROSEMI CORP
"FREESCALE SEMICONDUCTOR, INC.",19321,FREESCALE SEMICONDUCTOR INC
DELL SOFTWARE INC.,18788,DELL SOFTWARE INC
"MICROSEMI STORAGE SOLUTIONS, INC.",18324,MICROSEMI STORAGE SOLUTIONS INC
"SILICON STORAGE TECHNOLOGY, INC.",18059,SILICON STORAGE TECHNOLOGY INC
"FORCE10 NETWORKS, INC.",17408,FORCE10 NETWORKS INC
DELL MARKETING L.P.,17105,DELL MARKETING LP
DELL INTERNATIONAL L.L.C.,16855,DELL INTERNATIONAL LLC
"CREDANT TECHNOLOGIES, INC.",16800,CREDANT TECHNOLOGIES INC
"ASAP SOFTWARE EXPRESS, INC.",16785,ASAP SOFTWARE EXPRESS INC
"EMC IP HOLDING COMPANY LLC (ON BEHALF OF ITSELF AND AS SUCCESSOR-IN-INTEREST TO MOZY, INC.)",16781,EMC IP HOLDING CO LLC ON BEHALF OF ITSELF & AS SUCCESSOR-IN-INTEREST TO MOZY INC
"DELL MARKETING CORPORATION (SUCCESSOR-IN-INTEREST TO ASAP SOFTWARE EXPRESS, INC.)",16349,DELL MARKETING CORP SUCCESSOR-IN-INTEREST TO ASAP SOFTWARE EXPRESS INC
"DELL MARKETING CORPORATION (SUCCESSOR-IN-INTEREST TO FORCE10 NETWORKS, INC. AND WYSE TECHNOLOGY L.L.C.)",16349,DELL MARKETING CORP SUCCESSOR-IN-INTEREST TO FORCE10 NETWORKS INC & WYSE TECHNOLOGY LLC
"DELL MARKETING L.P. (ON BEHALF OF ITSELF AND AS SUCCESSOR-IN-INTEREST TO CREDANT TECHNOLOGIES, INC.)",16349,DELL MARKETING LP ON BEHALF OF ITSELF & AS SUCCESSOR-IN-INTEREST TO CREDANT TECHNOLOGIES INC
EMC CORPORATION (ON BEHALF OF ITSELF AND AS SUCCESSOR-IN-INTEREST TO MAGINATICS LLC),16349,EMC CORP ON BEHALF OF ITSELF & AS SUCCESSOR-IN-INTEREST TO MAGINATICS LLC
MICROCHIP TECHNOLOGY INCORPORATED,16271,MICROCHIP TECHNOLOGY INC
EMC IP HOLDING COMPANY LLC,15328,EMC IP HOLDING CO LLC
"MICRON SEMICONDUCTOR PRODUCTS, INC.",15278,MICRON SEMICONDUCTOR PRODUCTS INC
EMC CORPORATION,15009,EMC CORP
FAR EAST DEVELOPMENT LTD.,14448,FAR EAST DEVELOPMENT LTD
XEROX CORPORATION,12142,XEROX CORP
LASER PACIFIC MEDIA CORPORATION,11888,LASER PACIFIC MEDIA CORP
GLOBALFOUNDRIES U.S. INC.,11752,GLOBALFOUNDRIES US INC
AVAGO TECHNOLOGIES GENERAL IP (SINGAPORE) PTE. LTD.,11476,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD
BROADCOM CORPORATION,11179,BROADCOM CORP
GM GLOBAL TECHNOLOGY OPERATIONS LLC,11155,GM GLOBAL TECHNOLOGY OPERATIONS LLC
GLOBALFOUNDRIES INC.,10429,GLOBALFOUNDRIES INC
LSI CORPORATION,10051,LSI CORP
AGERE SYSTEMS LLC,9975,AGERE SYSTEMS LLC
NXP B.V.,9731,NXP BV
CREO MANUFACTURING AMERICA LLC,9716,CREO MANUFACTURING AMERICA LLC
"KODAK (NEAR EAST), INC.",9716,KODAK NEAR EAST INC
"KODAK AMERICAS, LTD.",9716,KODAK AMERICAS LTD
KODAK AVIATION LEASING LLC,9716,KODAK AVIATION LEASING LLC
"KODAK IMAGING NETWORK, INC.",9716,KODAK IMAGING NETWORK INC
"KODAK PHILIPPINES, LTD.",9716,KODAK PHILIPPINES LTD
KODAK PORTUGUESA LIMITED,9716,KODAK PORTUGUESA LTD
"KODAK REALTY, INC.",9716,KODAK REALTY INC
"WESTERN DIGITAL TECHNOLOGIES, INC.",9051,WESTERN DIGITAL TECHNOLOGIES INC
"SECUREWORKS, INC.",8959,SECUREWORKS INC
AVENTAIL LLC,8922,AVENTAIL LLC
"APPASSURE SOFTWARE, INC.",8682,APPASSURE SOFTWARE INC
DELL INC.,8682,DELL INC
PEROT SYSTEMS CORPORATION,8682,PEROT SYSTEMS CORP
"MOZY, INC.",8535,MOZY INC
UNISYS CORPORATION,8457,UNISYS CORP
"DELL INTERNATIONAL, L.L.C.",8276,DELL INTERNATIONAL LLC
DELL SYSTEMS CORPORATION,8159,DELL SYSTEMS CORP
MAGINATICS LLC,8103,MAGINATICS LLC
SPRINT COMMUNICATIONS COMPANY L.P.,7644,SPRINT COMMUNICATIONS CO LP
FPC INC.,7292,FPC INC
NPEC INC.,7292,NPEC INC
QUALEX INC.,7292,QUALEX INC
"NPEC, INC.",7156,NPEC INC
"QUALEX, INC.",7156,QUALEX INC
"COMMSCOPE, INC. OF NORTH CAROLINA",6904,COMMSCOPE INC OF NORTH CAROLINA
ALLEN TELECOM LLC,6190,ALLEN TELECOM LLC
COMMSCOPE TECHNOLOGIES LLC,6182,COMMSCOPE TECHNOLOGIES LLC
FEDERAL-MOGUL CHASSIS LLC,6129,FEDERAL-MOGUL CHASSIS LLC
"COMPELLENT TECHNOLOGIES, INC.",6073,COMPELLENT TECHNOLOGIES INC
SPANSION LLC,5783,SPANSION LLC
LEAR CORPORATION,5576,LEAR CORP
"REDWOOD SYSTEMS, INC.",5311,REDWOOD SYSTEMS INC
AVAYA INC.,5006,AVAYA INC
ROVI TECHNOLOGIES CORPORATION,4957,ROVI TECHNOLOGIES CORP
FEDERAL-MOGUL POWERTRAIN LLC,4877,FEDERAL-MOGUL POWERTRAIN LLC
AVAYA MANAGEMENT L.P.,4855,AVAYA MANAGEMENT LP
CLEARWIRE IP HOLDINGS LLC,4855,CLEARWIRE IP HOLDINGS LLC
AVAYA INTEGRATED CABINET SOLUTIONS LLC,4835,AVAYA INTEGRATED CABINET SOLUTIONS LLC
FAIRCHILD SEMICONDUCTOR CORPORATION,4769,FAIRCHILD SEMICONDUCTOR CORP
FEDERAL-MOGUL WORLD WIDE LLC,4765,FEDERAL-MOGUL WORLD WIDE LLC
"FPC, INC.",4740,FPC INC
"NXP, B.V., F/K/A FREESCALE SEMICONDUCTOR, INC.",4736,NXP BV F K A FREESCALE SEMICONDUCTOR INC
KODAK (NEAR EAST) INC.,4732,KODAK NEAR EAST INC
KODAK AMERICAS LTD.,4732,KODAK AMERICAS LTD
KODAK PHILIPPINES LTD.,4732,KODAK PHILIPPINES LTD
KODAK REALTY INC.,4732,KODAK REALTY INC
CLEARWIRE COMMUNICATIONS LLC,4689,CLEARWIRE COMMUNICATIONS LLC
"T-MOBILE USA, INC.",4652,T-MOBILE USA INC
IBSV LLC,4651,IBSV LLC
"ASSURANCE WIRELESS USA, L.P.",4650,ASSURANCE WIRELESS USA LP
"BOOST WORLDWIDE, LLC",4650,BOOST WORLDWIDE LLC
"LAYER3 TV, LLC",4650,LAYER3 TV LLC
"PUSHSPRING, LLC",4650,PUSHSPRING LLC
SPRINT INTERNATIONAL INCORPORATED,4650,SPRINT INTERNATIONAL INC
SPRINT SPECTRUM LLC,4650,SPRINT SPECTRUM LLC
SPRINTCOM LLC,4650,SPRINTCOM LLC
T-MOBILE CENTRAL LLC,4650,T-MOBILE CENTRAL LLC
"ROVI GUIDES, INC.",4575,ROVI GUIDES INC
ROVI SOLUTIONS CORPORATION,4575,ROVI SOLUTIONS CORP
ANDREW LLC,4481,ANDREW LLC
SEAGATE TECHNOLOGY LLC,4446,SEAGATE TECHNOLOGY LLC
"VISTEON GLOBAL TECHNOLOGIES, INC.",4411,VISTEON GLOBAL TECHNOLOGIES INC
CYPRESS SEMICONDUCTOR CORPORATION,4371,CYPRESS SEMICONDUCTOR CORP
"VEVEO, INC.",4121,VEVEO INC
HERCULES INCORPORATED,4042,HERCULES INC
MOMENTIVE PERFORMANCE MATERIALS INC.,4013,MOMENTIVE PERFORMANCE MATERIALS INC
TENNECO AUTOMOTIVE OPERATING COMPANY INC.,4002,TENNECO AUTOMOTIVE OPERATING CO INC
FEDERAL-MOGUL MOTORPARTS LLC,3813,FEDERAL-MOGUL MOTORPARTS LLC
"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",3758,SEMICONDUCTOR COMPONENTS INDUSTRIES LLC
THE PULLMAN COMPANY,3650,PULLMAN CO
"INTELLISIST, INC.",3576,INTELLISIST INC
TENNECO INC.,3508,TENNECO INC
DRIV AUTOMOTIVE INC.,3493,DRIV AUTOMOTIVE INC
"TIVO SOLUTIONS, INC.",3428,TIVO SOLUTIONS INC
FEDERAL-MOGUL IGNITION LLC,3417,FEDERAL-MOGUL IGNITION LLC
"DIEBOLD NIXDORF, INCORPORATED",3360,DIEBOLD NIXDORF INC
FEDERAL-MOGUL PRODUCTS US LLC,3321,FEDERAL-MOGUL PRODUCTS US LLC
SEAGATE TECHNOLOGY INTERNATIONAL,3183,SEAGATE TECHNOLOGY INTERNATIONAL
UNISYS HOLDING CORPORATION,3025,UNISYS HOLDING CORP
LUCENT TECHNOLOGIES INC.,3014,LUCENT TECHNOLOGIES INC
ALCATEL-LUCENT USA INC.,2966,ALCATEL-LUCENT USA INC
"COMPELLANT TECHNOLOGIES, INC.",2894,COMPELLANT TECHNOLOGIES INC
MICROCHIP TECHNOLOGY INC.,2773,MICROCHIP TECHNOLOGY INC
OCTEL COMMUNICATIONS LLC,2627,OCTEL COMMUNICATIONS LLC
"VPNET TECHNOLOGIES, INC.",2627,VPNET TECHNOLOGIES INC
QUANTUM CORPORATION,2578,QUANTUM CORP
"BALLY GAMING, INC.",2564,BALLY GAMING INC
"MCAFEE, LLC",2564,MCAFEE LLC
"SCIENTIFIC GAMES INTERNATIONAL, INC.",2564,SCIENTIFIC GAMES INTERNATIONAL INC
"EASTMAN KODAK INTERNATIONAL CAPITAL COMPANY, INC.",2560,EASTMAN KODAK INTERNATIONAL CAPITAL CO INC
LASER-PACIFIC MEDIA CORPORATION,2560,LASER-PACIFIC MEDIA CORP
"BELL NORTHERN RESEARCH, LLC",2557,BELL NORTHERN RESEARCH LLC
"BELL SEMICONDUCTOR, LLC",2557,BELL SEMICONDUCTOR LLC
"HILCO PATENT ACQUISITION 56, LLC",2557,HILCO PATENT ACQUISITION 56 LLC
NEWPORT CORPORATION,2526,NEWPORT CORP
"WEATHERFORD TECHNOLOGY HOLDINGS, LLC",2487,WEATHERFORD TECHNOLOGY HOLDINGS LLC
WMS GAMING INC.,2451,WMS GAMING INC
WEATHERFORD U.K. LIMITED,2423,WEATHERFORD U K LTD
"PFC, INC.",2416,PFC INC
"HIGH PRESSURE INTEGRITY, INC.",2414,HIGH PRESSURE INTEGRITY INC
PRECISION ENERGY SERVICES ULC,2414,PRECISION ENERGY SERVICES ULC
"PRECISION ENERGY SERVICES, INC.",2414,PRECISION ENERGY SERVICES INC
WEATHERFORD NETHERLANDS B.V.,2414,WEATHERFORD NETHERLANDS BV
WEATHERFORD NORGE AS,2414,WEATHERFORD NORGE AS
WEATHERFORD SWITZERLAND TRADING AND DEVELOPMENT GMBH,2414,WEATHERFORD SWITZERLAND TRADING & DEVELOPMENT GMBH
AQUALON COMPANY,2385,AQUALON CO
"EQUISTAR CHEMICALS, LP",2318,EQUISTAR CHEMICALS LP
"MKS INSTRUMENTS, INC.",2290,MKS INSTRUMENTS INC
BRUNSWICK CORPORATION,2219,BRUNSWICK CORP
"CARESTREAM HEALTH, INC.",2189,CARESTREAM HEALTH INC
VISTEON CORPORATION,2166,VISTEON CORP
"VC AVIATION SERVICES, LLC",2060,VC AVIATION SERVICES LLC
VISTEON ELECTRONICS CORPORATION,2060,VISTEON ELECTRONICS CORP
"VISTEON GLOBAL TREASURY, INC.",2060,VISTEON GLOBAL TREASURY INC
"VISTEON INTERNATIONAL BUSINESS DEVELOPMENT, INC.",2060,VISTEON INTERNATIONAL BUSINESS DEVELOPMENT INC
"VISTEON INTERNATIONAL HOLDINGS, INC.",2060,VISTEON INTERNATIONAL HOLDINGS INC
"VISTEON SYSTEMS, LLC",2060,VISTEON SYSTEMS LLC
"WSOU INVESTMENTS, LLC",2012,WSOU INVESTMENTS LLC
NCR VOYIX CORPORATION,2006,NCR VOYIX CORP
DELL MARKETING CORPORATION (SUCCESSOR-IN-INTEREST TO WYSE TECHNOLOGY L.L.C.),1940,DELL MARKETING CORP SUCCESSOR-IN-INTEREST TO WYSE TECHNOLOGY LLC
"LYONDELL CHEMICAL TECHNOLOGY, L.P.",1921,LYONDELL CHEMICAL TECHNOLOGY LP
"SYMBOL TECHNOLOGIES, INC.",1905,SYMBOL TECHNOLOGIES INC
FIRST DATA CORPORATION,1900,FIRST DATA CORP
"CITRIX SYSTEMS, INC.",1882,CITRIX SYSTEMS INC
"CLOUD SOFTWARE GROUP, INC. (F/K/A TIBCO SOFTWARE INC.)",1882,CLOUD SOFTWARE GROUP INC F K A TIBCO SOFTWARE INC
ACACIA RESEARCH GROUP LLC,1831,ACACIA RESEARCH GROUP LLC
AMERICAN VEHICULAR SCIENCES LLC,1831,AMERICAN VEHICULAR SCIENCES LLC
BONUTTI SKELETAL INNOVATIONS LLC,1831,BONUTTI SKELETAL INNOVATIONS LLC
CELLULAR COMMUNICATIONS EQUIPMENT LLC,1831,CELLULAR COMMUNICATIONS EQUIPMENT LLC
INNOVATIVE DISPLAY TECHNOLOGIES LLC,1831,INNOVATIVE DISPLAY TECHNOLOGIES LLC
LIFEPORT SCIENCES LLC,1831,LIFEPORT SCIENCES LLC
LIMESTONE MEMORY SYSTEMS LLC,1831,LIMESTONE MEMORY SYSTEMS LLC
MOBILE ENHANCEMENT SOLUTIONS LLC,1831,MOBILE ENHANCEMENT SOLUTIONS LLC
MONARCH NETWORKING SOLUTIONS LLC,1831,MONARCH NETWORKING SOLUTIONS LLC
NEXUS DISPLAY TECHNOLOGIES LLC,1831,NEXUS DISPLAY TECHNOLOGIES LLC
PARTHENON UNIFIED MEMORY ARCHITECTURE LLC,1831,PARTHENON UNIFIED MEMORY ARCHITECTURE LLC
R2 SOLUTIONS LLC,1831,R2 SOLUTIONS LLC
SAINT LAWRENCE COMMUNICATIONS LLC,1831,SAINT LAWRENCE COMMUNICATIONS LLC
STINGRAY IP SOLUTIONS LLC,1831,STINGRAY IP SOLUTIONS LLC
SUPER INTERCONNECT TECHNOLOGIES LLC,1831,SUPER INTERCONNECT TECHNOLOGIES LLC
TELECONFERENCE SYSTEMS LLC,1831,TELECONFERENCE SYSTEMS LLC
UNIFICATION TECHNOLOGIES LLC,1831,UNIFICATION TECHNOLOGIES LLC
SPANSION TECHNOLOGY LLC,1796,SPANSION TECHNOLOGY LLC
SPANSION INC.,1793,SPANSION INC
CIENA CORPORATION,1785,CIENA CORP
GREATBATCH LTD.,1716,GREATBATCH LTD
"POLYCOM, INC.",1712,POLYCOM INC
CHEMTURA CORPORATION,1711,CHEMTURA CORP
GREAT LAKES CHEMICAL CORPORATION,1711,GREAT LAKES CHEMICAL CORP
"HILL-ROM SERVICES, INC.",1705,HILL-ROM SERVICES INC
"ALLEN MEDICAL SYSTEMS, INC.",1704,ALLEN MEDICAL SYSTEMS INC
"HILL-ROM, INC.",1704,HILL-ROM INC
"VOALTE, INC.",1704,VOALTE INC
"WELCH ALLYN, INC.",1704,WELCH ALLYN INC
"ELECTRO SCIENTIFIC INDUSTRIES, INC.",1701,ELECTRO SCIENTIFIC INDUSTRIES INC
SPRINT SPECTRUM L.P.,1694,SPRINT SPECTRUM LP
NATIONAL INSTRUMENTS CORPORATION,1691,NATIONAL INSTRUMENTS CORP
CROMPTON COLORS INCORPORATED,1671,CROMPTON COLORS INC
"GLCC LAUREL, LLC",1671,GLCC LAUREL LLC
"HOMECARE LABS, INC.",1610,HOMECARE LABS INC
CLEVITE INDUSTRIES INC.,1605,CLEVITE INDUSTRIES INC
TENNECO GLOBAL HOLDINGS INC.,1605,TENNECO GLOBAL HOLDINGS INC
TENNECO INTERNATIONAL HOLDING CORP.,1605,TENNECO INTERNATIONAL HOLDING CORP
TMC TEXAS INC.,1605,TMC TEXAS INC
MAXTOR CORPORATION,1592,MAXTOR CORP
EVAULT INC. (F/K/A I365 INC.),1591,EVAULT INC F K A I365 INC
SEAGATE TECHNOLOGY HDD HOLDINGS,1591,SEAGATE TECHNOLOGY HDD HOLDINGS
"SEAGATE TECHNOLOGY US HOLDINGS, INC.",1591,SEAGATE TECHNOLOGY US HOLDINGS INC
IBIQUITY DIGITAL CORPORATION,1574,IBIQUITY DIGITAL CORP
"ENTEGRIS, INC.",1569,ENTEGRIS INC
"WESTERN DIGITAL (FREMONT), LLC",1560,WESTERN DIGITAL FREMONT LLC
"RECREATIONAL WATER PRODUCTS, INC.",1537,RECREATIONAL WATER PRODUCTS INC
LUND BOAT COMPANY,1536,LUND BOAT CO
"BOSTON WHALER, INC.",1534,BOSTON WHALER INC
BRUNSWICK BOWLING & BILLIARDS CORPORATION,1534,BRUNSWICK BOWLING & BILLIARDS CORP
"BRUNSWICK LEISURE BOAT COMPANY, LLC",1534,BRUNSWICK LEISURE BOAT CO LLC
GEMSTAR DEVELOPMENT CORPORATION,1529,GEMSTAR DEVELOPMENT CORP
INDEX SYSTEMS INC.,1529,INDEX SYSTEMS INC
"STARSIGHT TELECAST, INC.",1529,STARSIGHT TELECAST INC
"UNITED VIDEO PROPERTIES, INC.",1529,UNITED VIDEO PROPERTIES INC
