idx1,idx2,similarity,name1,name2
0,1683,100.0,DELL PRODUCTS LP,DELL PRODUCTS LP
9,2711,100.0,DELL INTERNATIONAL LLC,DELL INTERNATIONAL LLC
7057,11404,95.0,DELL CORPORATE SERVICES CORP A CORP OF DE,DELL CORPORATE SERVICES CORP
1,13847,89.47368421052632,WYSE TECHNOLOGY LLC,WYSE TECHNOLOGY INC
13847,17140,90.0,WYSE TECHNOLOGY INC,WYSE TECHNOLOGY INC A DE CORP
8,122,94.28571428571428,GM GLOBAL TECHNOLOGY OPERATIONS INC,GM GLOBAL TECHNOLOGY OPERATIONS LLC
10,48,100.0,CREDANT TECHNOLOGIES INC,CREDANT TECHNOLOGIES INC
7341,7342,90.327868852459,XEROX COMMERCIAL SOLUTIONS LLC F K A ACS COMMERCIAL SOLUTIONS INC,XEROX HR SOLUTIONS LLC F K A ACS HR SOLUTIONS LLC
86,87,95.0,FREESCALE ACQUISITION CORP,FREESCALE ACQUISITION HOLDINGS CORP
28,559,90.0,COMMSCOPE INC OF NORTH CAROLINA,COMMSCOPE INC OF NORTH CAROLINA A NORTH CAROLINA CORP
28,562,90.0,COMMSCOPE INC OF NORTH CAROLINA,COMMSCOPE INC OF NORTH CAROLINA A NORTH CAROLINA CORP
28,12128,95.0,COMMSCOPE INC OF NORTH CAROLINA,COMMSCOPE OF NORTH CAROLINA
559,562,100.0,COMMSCOPE INC OF NORTH CAROLINA A NORTH CAROLINA CORP,COMMSCOPE INC OF NORTH CAROLINA A NORTH CAROLINA CORP
19,982,90.0,MICROSEMI CORP,MICROSEMI CORP - POWER PRODUCTS GROUP F K A ADVANCED POWER TECHNOLOGY INC
19,983,90.0,MICROSEMI CORP,MICROSEMI CORP - RF INTEGRATED SOLUTIONS F K A AML COMMUNICATIONS INC
19,2272,90.0,MICROSEMI CORP,MICROSEMI CORP -ANALOG MIXED SIGNAL GROUP
19,2274,95.0,MICROSEMI CORP,MICROSEMI SOC CORP
19,4720,90.0,MICROSEMI CORP,MICROSEMI CORP -MEMORY & STORAGE SOLUTIONS
19,4721,90.0,MICROSEMI CORP,MICROSEMI CORP -SECURITY SOLUTIONS
21,998,90.0,MICROSEMI STORAGE SOLUTIONS INC,MICROSEMI STORAGE SOLUTIONS INC F K A PMC-SIERRA INC
21,4720,88.44827586206895,MICROSEMI STORAGE SOLUTIONS INC,MICROSEMI CORP -MEMORY & STORAGE SOLUTIONS
984,2273,90.0,MICROSEMI FREQUENCY & TIME CORP F K A SYMMETRICON INC,MICROSEMI FREQUENCY & TIME CORP
985,1679,90.0,MICROSEMI SEMICONDUCTOR US INC F K A LEGERITY INC ZARLINK SEMICONDUCTOR V N INC CENTELLAX INC & ZARLINK SEMICONDUCTOR US INC,MICROSEMI SEMICONDUCTOR US INC
986,2274,90.0,MICROSEMI SOC CORP F K A ACTEL CORP,MICROSEMI SOC CORP
997,998,95.0,MICROSEMI STORAGE SOLUTIONS US INC F K A PMC-SIERRA US INC,MICROSEMI STORAGE SOLUTIONS INC F K A PMC-SIERRA INC
322,1665,90.0,SILICON GRAPHICS INC,SILICON GRAPHICS INC & SILICON GRAPHICS FEDERAL INC EACH A DELAWARE CORP
3870,8557,90.0,SILICON VALLEY BANK,SILICON VALLEY BANK PALO ALTO CA US
3870,20592,90.0,SILICON VALLEY BANK,SILICON VALLEY BANK DBA SILICON VALLEY EAST
5149,7510,100.0,SILICON BANDWIDTH INC,SILICON BANDWIDTH INC
5748,20593,100.0,SILICON GAMING INC,SILICON GAMING INC
9283,14857,97.87234042553192,SILICON VALLEY GROUP INC,SILICON VALLEY GROUP IN
9667,10063,88.88888888888889,SILICON GAMING-INDIANA INC,SILICON GAMING-LOUISIANA INC
10063,20591,98.24561403508771,SILICON GAMING-LOUISIANA INC,SILICON GAMING-LOUISIANIA INC
29,411,90.47619047619048,ARRIS ENTERPRISES LLC,ARRIS ENTERPRISES INC
602,1754,95.0,ARRIS HOLDINGS CORP OF ILLINOIS,ARRIS HOLDINGS CORP OF ILLINOIS INC
3954,8186,90.0,ARRIS INTERNATIONAL INC,ARRIS INTERNATIONAL INC F K A ANTEC CORP
3954,17515,100.0,ARRIS INTERNATIONAL INC,ARRIS INTERNATIONAL INC
8186,17515,90.0,ARRIS INTERNATIONAL INC F K A ANTEC CORP,ARRIS INTERNATIONAL INC
31,10856,100.0,FPC INC,FPC INC
33,8274,100.0,KODAK AMERICAS LTD,KODAK AMERICAS LTD
33,16109,100.0,KODAK AMERICAS LTD,KODAK AMERICAS LTD
38,2739,100.0,KODAK NEAR EAST INC,KODAK NEAR EAST INC
38,3986,100.0,KODAK NEAR EAST INC,KODAK NEAR EAST INC
38,16108,100.0,KODAK NEAR EAST INC,KODAK NEAR EAST INC
39,2726,100.0,KODAK PHILIPPINES LTD,KODAK PHILIPPINES LTD
39,16110,100.0,KODAK PHILIPPINES LTD,KODAK PHILIPPINES LTD
2726,16110,100.0,KODAK PHILIPPINES LTD,KODAK PHILIPPINES LTD
2739,3986,100.0,KODAK NEAR EAST INC,KODAK NEAR EAST INC
2739,16108,100.0,KODAK NEAR EAST INC,KODAK NEAR EAST INC
3986,16108,100.0,KODAK NEAR EAST INC,KODAK NEAR EAST INC
8274,16109,100.0,KODAK AMERICAS LTD,KODAK AMERICAS LTD
34,5647,100.0,QUALEX INC,QUALEX INC
34,8321,90.0,QUALEX INC,QUALEX
5647,8321,90.0,QUALEX INC,QUALEX
36,4261,100.0,FAR EAST DEVELOPMENT LTD,FAR EAST DEVELOPMENT LTD
36,5587,95.0,FAR EAST DEVELOPMENT LTD,FAR EAST DEVELOPMENT
4261,5587,95.0,FAR EAST DEVELOPMENT LTD,FAR EAST DEVELOPMENT
37,4105,100.0,NPEC INC,NPEC INC
37,7133,100.0,NPEC INC,NPEC INC
37,7891,100.0,NPEC INC,NPEC INC
4105,7133,100.0,NPEC INC,NPEC INC
4105,7891,100.0,NPEC INC,NPEC INC
7133,7891,100.0,NPEC INC,NPEC INC
46,75,100.0,MICROCHIP TECHNOLOGY INC,MICROCHIP TECHNOLOGY INC
50,17295,88.23529411764706,AGERE SYSTEMS LLC,AGERE SYSTEMS INC
2069,5313,95.0,AGERE SYSTEMS GUARDIAN CORP DE CORP,AGERE SYSTEMS OPTOELECTRONICS GUARDIAN CORP DE CORP
52,17110,95.0,WESTERN DIGITAL TECHNOLOGIES INC,WESTERN TECHNOLOGIES INC
173,1335,92.5925925925926,WESTERN DIGITAL FREMONT LLC,WESTERN DIGITAL FREMONT INC
1767,2223,90.0,WESTERN DIGITAL CORP,WESTERN DIGITAL CORP A DELAWARE CORP
1767,3949,90.0,WESTERN DIGITAL CORP,WESTERN DIGITAL CORP A CORP OF DE
1767,11903,95.0,WESTERN DIGITAL CORP,WESTERN DIGITSL CORP
2113,5763,90.0,WESTERN SKY INDUSTRIES LLC,WESTERN SKY INDUSTRIES LLC A K A TYEE AIRCRAFT
2113,15055,90.0,WESTERN SKY INDUSTRIES LLC,WESTERN SKY INDUSTRIES LLC A DELAWARE LTD LIABILITY CO
54,113,100.0,AVAYA INC,AVAYA INC
54,277,90.0,AVAYA INC,AVAYA INC A DELAWARE CORP
110,8680,100.0,AVAYA MANAGEMENT LP,AVAYA MANAGEMENT LP
113,277,90.0,AVAYA INC,AVAYA INC A DELAWARE CORP
127,306,94.73684210526316,AVAYA INTEGRATED CABINET SOLUTIONS LLC,AVAYA INTEGRATED CABINET SOLUTIONS INC
127,390,95.0,AVAYA INTEGRATED CABINET SOLUTIONS LLC,AVAYA CABINET SOLUTIONS LLC
55,647,100.0,CITIBANK NA,CITIBANK NA
55,9435,100.0,CITIBANK NA,CITIBANK NA
55,9844,90.0,CITIBANK NA,CITIBANK NA & COLLATERAL AGENT
55,11367,90.0,CITIBANK NA,CITIBANK NA AS RESIGNING ADMINISTRATIVE AGENT
55,12075,90.0,CITIBANK NA,CITIBANK NA & COLLATERAL AGENT
647,9435,100.0,CITIBANK NA,CITIBANK NA
647,9844,90.0,CITIBANK NA,CITIBANK NA & COLLATERAL AGENT
647,11367,90.0,CITIBANK NA,CITIBANK NA AS RESIGNING ADMINISTRATIVE AGENT
647,12075,90.0,CITIBANK NA,CITIBANK NA & COLLATERAL AGENT
9435,9844,90.0,CITIBANK NA,CITIBANK NA & COLLATERAL AGENT
9435,11367,90.0,CITIBANK NA,CITIBANK NA AS RESIGNING ADMINISTRATIVE AGENT
9435,12075,90.0,CITIBANK NA,CITIBANK NA & COLLATERAL AGENT
9844,12075,100.0,CITIBANK NA & COLLATERAL AGENT,CITIBANK NA & COLLATERAL AGENT
66,1223,90.0,ROVI TECHNOLOGIES CORP,ROVI TECHNOLOGIES CORP A DELAWARE CORP
68,1221,90.0,ROVI GUIDES INC,ROVI GUIDES INC A DELAWARE CORP
69,1222,90.0,ROVI SOLUTIONS CORP,ROVI SOLUTIONS CORP A DELAWARE CORP
1220,1221,95.0,ROVI CORP A DELAWARE CORP,ROVI GUIDES INC A DELAWARE CORP
1220,1222,95.0,ROVI CORP A DELAWARE CORP,ROVI SOLUTIONS CORP A DELAWARE CORP
70,9001,90.0,UNISYS CORP,UNISYS CORPORATOIN
71,4571,90.9090909090909,SEAGATE TECHNOLOGY LLC,SEAGATE TECHNOLOGY INC
209,210,91.30434782608697,SPANSION TECHNOLOGY INC,SPANSION TECHNOLOGY LLC
76,20934,100.0,TIBCO SOFTWARE INC,TIBCO SOFTWARE INC
76,20935,90.0,TIBCO SOFTWARE INC,TIBCO SOFTWARE INC AS PLEDGOR
20934,20935,90.0,TIBCO SOFTWARE INC,TIBCO SOFTWARE INC AS PLEDGOR
77,269,95.0,FEDERAL-MOGUL CHASSIS LLC,FEDERAL-MOGUL LLC
77,1008,90.0,FEDERAL-MOGUL CHASSIS LLC,FEDERAL-MOGUL CHASSIS LLC A DELAWARE LTD LIABILITY CO
117,268,94.11764705882352,FEDERAL-MOGUL IGNITION LLC,FEDERAL-MOGUL IGNITION CO
118,371,92.85714285714286,FEDERAL-MOGUL WORLD WIDE LLC,FEDERAL-MOGUL WORLD WIDE INC
118,630,100.0,FEDERAL-MOGUL WORLD WIDE LLC,FEDERAL-MOGUL WORLD WIDE LLC
125,635,91.22807017543859,FEDERAL-MOGUL MOTORPARTS LLC,FEDERAL-MOGUL MOTORPARTS CORP
268,1010,90.0,FEDERAL-MOGUL IGNITION CO,FEDERAL-MOGUL IGNITION CO A DELAWARE CORP
