entity_id,original_name,standard_name,frequency,component_size
non_financial_security_0,DELL PRODUCTS L.P.,DELL,55314,4
non_financial_security_0,DELL INTERNATIONAL L.L.C.,DELL,39183,4
non_financial_security_0,"DELL PRODUCTS, L.P.",DELL,278,4
non_financial_security_0,"DELL INTERNATIONAL, L.L.C.",DELL,115,4
non_financial_security_2,"DELL CORPORATE SERVICES CORPORATION, A CORP. OF DE",DELL CORPORATE SERVICES CORP A CORP OF DE,20,2
non_financial_security_2,DELL CORPORATE SERVICES CORPORATION,DELL CORPORATE SERVICES CORP A CORP OF DE,6,2
non_financial_security_3,WYSE TECHNOLOGY L.L.C.,WYSE TECHNOLOGY LLC,51331,3
non_financial_security_3,WYSE TECHNOLOGY INC.,WYSE TECHNOLOGY LLC,4,3
non_financial_security_3,"WYSE TECHNOLOGY INC., A DE CORP.",WYSE TECHNOLOGY LLC,2,3
non_financial_security_4,"GM GLOBAL TECHNOLOGY OPERATIONS, INC.",GM GLOBAL TECHNOLOGY OPERATIONS,42214,2
non_financial_security_4,GM GLOBAL TECHNOLOGY OPERATIONS LLC,GM GLOBAL TECHNOLOGY OPERATIONS,3738,2
non_financial_security_5,"CREDANT TECHNOLOGIES, INC.",CREDANT TECHNOLOGIES,36247,2
non_financial_security_5,CREDANT TECHNOLOGIES INC.,CREDANT TECHNOLOGIES,11354,2
non_financial_security_6,"XEROX COMMERCIAL SOLUTIONS, LLC (F/K/A ACS COMMERCIAL SOLUTIONS, INC.)",XEROX HR SOLUTIONS LLC F K A ACS HR SOLUTIONS LLC,19,2
non_financial_security_6,"XEROX HR SOLUTIONS, LLC (F/K/A ACS HR SOLUTIONS, LLC)",XEROX HR SOLUTIONS LLC F K A ACS HR SOLUTIONS LLC,19,2
non_financial_security_7,FREESCALE ACQUISITION CORPORATION,FREESCALE ACQUISITION CORP,4901,2
non_financial_security_7,FREESCALE ACQUISITION HOLDINGS CORP.,FREESCALE ACQUISITION CORP,4901,2
non_financial_security_8,COMMSCOPE TECHNOLOGIES LLC,COMMSCOPE,19703,5
non_financial_security_8,"COMMSCOPE, INC. OF NORTH CAROLINA",COMMSCOPE,16126,5
non_financial_security_8,"COMMSCOPE, INC OF NORTH CAROLINA, A NORTH CAROLINA CORPORATION",COMMSCOPE,824,5
non_financial_security_8,"COMMSCOPE, INC. OF NORTH CAROLINA, A NORTH CAROLINA CORPORATION",COMMSCOPE,823,5
non_financial_security_8,COMMSCOPE OF NORTH CAROLINA,COMMSCOPE,5,5
non_financial_security_9,MICROSEMI CORPORATION,MICROSEMI CORP,18804,16
non_financial_security_9,"MICROSEMI STORAGE SOLUTIONS, INC.",MICROSEMI CORP,17507,16
non_financial_security_9,MICROSEMI CORP. - POWER PRODUCTS GROUP (F/K/A ADVANCED POWER TECHNOLOGY INC.),MICROSEMI CORP,631,16
non_financial_security_9,"MICROSEMI CORP. - RF INTEGRATED SOLUTIONS (F/K/A AML COMMUNICATIONS, INC.)",MICROSEMI CORP,631,16
non_financial_security_9,MICROSEMI SOC CORP. (F/K/A ACTEL CORPORATION),MICROSEMI CORP,631,16
non_financial_security_9,"MICROSEMI FREQUENCY AND TIME CORPORATION (F/K/A SYMMETRICON, INC.)",MICROSEMI CORP,631,16
non_financial_security_9,"MICROSEMI SEMICONDUCTOR (U.S.) INC. (F/K/A LEGERITY, INC., ZARLINK SEMICONDUCTOR (V.N.) INC., CENTELLAX, INC., AND ZARLINK SEMICONDUCTOR (U.S.) INC.)",MICROSEMI CORP,631,16
non_financial_security_9,"MICROSEMI COMMUNICATIONS, INC. (F/K/A VITESSE SEMICONDUCTOR CORPORATION)",MICROSEMI CORP,631,16
non_financial_security_9,"MICROSEMI STORAGE SOLUTIONS (U.S.), INC. (F/K/A PMC-SIERRA US, INC.)",MICROSEMI CORP,615,16
